,date,group,buy,sell,diff
92,2021-03-11,2,256545.8,282877.9,-26332.1
93,2021-03-12,2,329067.10000000003,341866.10000000003,-12799.000000000007
94,2021-01-19,3,30395.1,25524.0,4396.200000000002
95,2021-01-20,3,34540.0,30471.700000000004,-4328.699999999999
96,2021-01-21,3,26139.6,28131.1,-1985.5
97,2021-01-22,3,7026.200000000003,20907.0,-13955.600000000002
98,2021-01-25,3,21889.5,21384.200000000004,-427.70000000000033
99,2021-01-25,3,21889.5,21384.200000000004,-427.70000000000033
100,2021-01-26,3,24011.9,25278.9,-1132.0
101,2021-01-26,3,24011.9,25278.9,-1132.0
102,2021-01-27,3,25552.1,22245.0,2389.0999999999995
103,2021-01-27,3,25552.1,22245.0,2389.0999999999995
104,2021-01-28,3,35280.700000000004,39156.6,-6488.5999999999985
105,2021-01-28,3,35280.700000000004,39156.6,-6488.5999999999985
106,2021-01-28,3,35280.700000000004,39156.6,-6488.5999999999985
107,2021-01-28,3,35280.700000000004,39156.6,-6488.5999999999985
108,2021-02-01,3,39617.4,32990.8,6626.5999999999985
109,2021-02-02,3,22471.8,20901.7,1570.0999999999995
110,2021-02-03,3,24792.5,32348.9,-7556.400000000002
111,2021-02-04,3,22385.80000000001,31735.2,-6562.4
112,2021-02-05,3,27449.3,35549.200000000004,-7896.200000000003
113,2021-02-08,3,43829.2,48116.3,401.90000000000015
114,2021-02-09,3,26932.60000000001,31956.399999999994,-1156.4999999999998
115,2021-02-09,3,26932.60000000001,31956.399999999994,-1156.4999999999998
116,2021-02-09,3,26932.60000000001,31956.399999999994,-1156.4999999999998
117,2021-02-10,3,13232.4,36901.9,-25080.0
118,2021-02-10,3,13232.4,36901.9,-25080.0
119,2021-02-12,3,25966.5,16981.2,5025.200000000002
120,2021-02-12,3,25966.5,16981.2,5025.200000000002
121,2021-02-12,3,25966.5,16981.2,5025.200000000002
122,2021-02-15,3,30817.5,28967.6,273.10000000000014
123,2021-02-16,3,52683.2,45431.8,7260.400000000002
124,2021-02-17,3,34574.0,40027.3,-5463.799999999998
125,2021-02-18,3,23977.1,30955.8,2721.7
126,2021-02-19,3,36381.6,36146.0,-2386.4
127,2021-02-22,3,22252.1,22692.2,2403.9
128,2021-02-24,3,17063.9,25142.6,-7077.7
129,2021-02-25,3,42133.7,38775.1,8803.599999999999
190,2021-02-25,3,42133.7,38775.1,8803.599999999999
130,2021-02-26,3,66260.0,74238.29999999999,-8930.200000000003
131,2021-03-01,3,45377.5,60110.3,-14873.8
132,2021-03-02,3,50584.00000000001,46023.60000000001,4869.4
133,2021-03-03,3,75189.59999999999,71466.8,3719.799999999999
134,2021-03-04,3,81274.4,67677.4,13596.999999999998
135,2021-03-05,3,145575.0,143509.1,2906.2
136,2021-03-08,3,590674.1000000001,588464.8999999999,2209.2
137,2021-03-09,3,1084448.6,1097786.2000000002,-13337.600000000002
138,2021-03-10,3,454531.0,429480.5,24590.3
139,2021-03-11,3,167126.1,142376.5,16371.2
140,2021-03-12,3,49155.7,38074.8,11080.9
141,2021-01-19,4,58640.4,63111.0,-4091.700000000001
142,2021-01-20,4,61034.9,56117.00000000002,5229.9000000000015
143,2021-01-21,4,45772.9,48210.1,-2729.6999999999994
144,2021-01-22,4,30214.5,38107.19999999998,-8744.699999999997
145,2021-01-25,4,42017.2,44427.2,-2719.5999999999995
146,2021-01-25,4,42017.2,44427.2,-2719.5999999999995
147,2021-01-26,4,47111.7,42159.9,4947.000000000002
148,2021-01-26,4,47111.7,42159.9,4947.000000000002
149,2021-01-27,4,40734.60000000001,40584.2,155.19999999999982
150,2021-01-27,4,40734.60000000001,40584.2,155.19999999999982
151,2021-01-28,4,80981.90000000001,78216.79999999999,5071.500000000002
152,2021-01-28,4,80981.90000000001,78216.79999999999,5071.500000000002
153,2021-01-28,4,80981.90000000001,78216.79999999999,5071.500000000002
154,2021-01-28,4,80981.90000000001,78216.79999999999,5071.500000000002
155,2021-02-01,4,54052.0,59974.3,-7692.300000000001
156,2021-02-02,4,55978.49999999999,54791.69999999999,1488.8000000000006
157,2021-02-03,4,54245.9,55820.49999999999,-2025.4999999999973
158,2021-02-04,4,51188.6,44777.4,6408.799999999997
159,2021-02-05,4,51111.69999999999,58462.90000000001,-8268.600000000004
160,2021-02-08,4,67596.20000000001,73734.09999999999,-6134.899999999998
161,2021-02-09,4,54561.7,53023.99999999999,1677.8000000000018
162,2021-02-09,4,54561.7,53023.99999999999,1677.8000000000018
163,2021-02-09,4,54561.7,53023.99999999999,1677.8000000000018
164,2021-02-10,4,32657.000000000015,38332.10000000001,-5541.400000000002
165,2021-02-10,4,32657.000000000015,38332.10000000001,-5541.400000000002
166,2021-02-12,4,42895.7,41401.3,1494.4000000000021
167,2021-02-12,4,42895.7,41401.3,1494.4000000000021
