,institutions_sell_code,institutions_sell,institutions_sell_eng,volume_sell,institutions_buy_code,institutions_buy,institutions_buy_eng,volume_buy,JPX_code,instrument,date
2,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,5492,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,5709,165090005,FUT_TOPIX_2009,2020-08-24
3,11788,ソシエテ・ジェネラル,Societe Generale,2498,11788,ソシエテ・ジェネラル,Societe Generale,2661,165090005,FUT_TOPIX_2009,2020-08-24
4,12800,モルガンスタンレー,Morgan Stanley MUFG,849,11714,ＪＰモルガン証券,JPMorgan Japan,539,165090005,FUT_TOPIX_2009,2020-08-24
5,11560,ゴールドマンサックス,Goldman Sachs Japan,435,12792,メリルリンチ日本証券,Merrill Lynch Japan,515,165090005,FUT_TOPIX_2009,2020-08-24
6,11714,ＪＰモルガン証券,JPMorgan Japan,355,12400,野村證券,Nomura Securities,383,165090005,FUT_TOPIX_2009,2020-08-24
7,12400,野村證券,Nomura Securities,317,12800,モルガンスタンレー,Morgan Stanley MUFG,323,165090005,FUT_TOPIX_2009,2020-08-24
8,12792,メリルリンチ日本証券,Merrill Lynch Japan,277,11746,ＵＢＳ証券,UBS Securities Japan,250,165090005,FUT_TOPIX_2009,2020-08-24
9,12410,バークレイズ証券,Barclays Japan,277,11635,クレディ・スイス証券,Credit Suisse Japan,213,165090005,FUT_TOPIX_2009,2020-08-24
10,12724,ＨＳＢＣ証券,HSBC (Japan),191,11792,シティグループ証券,Citigroup Japan,209,165090005,FUT_TOPIX_2009,2020-08-24
11,11635,クレディ・スイス証券,Credit Suisse Japan,179,12410,バークレイズ証券,Barclays Japan,145,165090005,FUT_TOPIX_2009,2020-08-24
12,12795,インタラクティブ証券,Interactive Brokers,120,11256,ＳＢＩ証券,SBI SECURITIES,132,165090005,FUT_TOPIX_2009,2020-08-24
13,11256,ＳＢＩ証券,SBI SECURITIES,118,12336,日産証券,Nissan Securities,120,165090005,FUT_TOPIX_2009,2020-08-24
14,11746,ＵＢＳ証券,UBS Securities Japan,83,12888,山和証券,YAMAWA SECURITIES,37,165090005,FUT_TOPIX_2009,2020-08-24
15,11792,シティグループ証券,Citigroup Japan,60,11272,岡三証券,OKASAN SECURITIES,34,165090005,FUT_TOPIX_2009,2020-08-24
16,12336,日産証券,Nissan Securities,49,12795,インタラクティブ証券,Interactive Brokers,33,165090005,FUT_TOPIX_2009,2020-08-24
17,11272,岡三証券,OKASAN SECURITIES,33,11560,ゴールドマンサックス,Goldman Sachs Japan,19,165090005,FUT_TOPIX_2009,2020-08-24
18,12888,山和証券,YAMAWA SECURITIES,27,12428,ＢＮＰパリバ証券,BNP Paribas (Japan),18,165090005,FUT_TOPIX_2009,2020-08-24
19,11060,ａｕカブコム証券,au Kabucom Securitie,11,12560,松井証券,MATSUI SECURITIES,14,165090005,FUT_TOPIX_2009,2020-08-24
20,11696,みずほ証券,Mizuho Securities,9,11060,ａｕカブコム証券,au Kabucom Securitie,12,165090005,FUT_TOPIX_2009,2020-08-24
21,12560,松井証券,MATSUI SECURITIES,4,12724,ＨＳＢＣ証券,HSBC (Japan),10,165090005,FUT_TOPIX_2009,2020-08-24
22,-,-,-,-,11696,みずほ証券,Mizuho Securities,10,165090005,FUT_TOPIX_2009,2020-08-24
25,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,8429,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,8361,165090018,FUT_NK225_2009,2020-08-24
26,11788,ソシエテ・ジェネラル,Societe Generale,6293,11788,ソシエテ・ジェネラル,Societe Generale,6036,165090018,FUT_NK225_2009,2020-08-24
27,11256,ＳＢＩ証券,SBI SECURITIES,818,11256,ＳＢＩ証券,SBI SECURITIES,1018,165090018,FUT_NK225_2009,2020-08-24
28,12560,松井証券,MATSUI SECURITIES,651,12057,楽天証券,Rakuten Securities,800,165090018,FUT_NK225_2009,2020-08-24
29,12057,楽天証券,Rakuten Securities,633,12792,メリルリンチ日本証券,Merrill Lynch Japan,746,165090018,FUT_NK225_2009,2020-08-24
30,12792,メリルリンチ日本証券,Merrill Lynch Japan,590,12560,松井証券,MATSUI SECURITIES,730,165090018,FUT_NK225_2009,2020-08-24
31,12336,日産証券,Nissan Securities,393,11060,ａｕカブコム証券,au Kabucom Securitie,297,165090018,FUT_NK225_2009,2020-08-24
32,12400,野村證券,Nomura Securities,355,11714,ＪＰモルガン証券,JPMorgan Japan,270,165090018,FUT_NK225_2009,2020-08-24
33,11060,ａｕカブコム証券,au Kabucom Securitie,270,12336,日産証券,Nissan Securities,257,165090018,FUT_NK225_2009,2020-08-24
34,11635,クレディ・スイス証券,Credit Suisse Japan,178,12330,マネックス証券,Monex,181,165090018,FUT_NK225_2009,2020-08-24
35,11560,ゴールドマンサックス,Goldman Sachs Japan,175,11635,クレディ・スイス証券,Credit Suisse Japan,148,165090018,FUT_NK225_2009,2020-08-24
36,12330,マネックス証券,Monex,158,11272,岡三証券,OKASAN SECURITIES,120,165090018,FUT_NK225_2009,2020-08-24
37,11272,岡三証券,OKASAN SECURITIES,114,12410,バークレイズ証券,Barclays Japan,105,165090018,FUT_NK225_2009,2020-08-24
38,11727,ＧＭＯクリック証券,GMO CLICK Securities,110,12400,野村證券,Nomura Securities,102,165090018,FUT_NK225_2009,2020-08-24
39,12795,インタラクティブ証券,Interactive Brokers,105,11727,ＧＭＯクリック証券,GMO CLICK Securities,96,165090018,FUT_NK225_2009,2020-08-24
40,11696,みずほ証券,Mizuho Securities,74,12428,ＢＮＰパリバ証券,BNP Paribas (Japan),92,165090018,FUT_NK225_2009,2020-08-24
41,12410,バークレイズ証券,Barclays Japan,73,12800,モルガンスタンレー,Morgan Stanley MUFG,64,165090018,FUT_NK225_2009,2020-08-24
42,11714,ＪＰモルガン証券,JPMorgan Japan,64,11560,ゴールドマンサックス,Goldman Sachs Japan,43,165090018,FUT_NK225_2009,2020-08-24
43,11784,ライブスター証券,livestar Securities,43,11784,ライブスター証券,livestar Securities,42,165090018,FUT_NK225_2009,2020-08-24
44,12888,山和証券,YAMAWA SECURITIES,34,12795,インタラクティブ証券,Interactive Brokers,31,165090018,FUT_NK225_2009,2020-08-24
45,11746,ＵＢＳ証券,UBS Securities Japan,34,-,-,-,-,165090018,FUT_NK225_2009,2020-08-24
48,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,168,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,142,165120018,FUT_NK225_2012,2020-08-24
49,12410,バークレイズ証券,Barclays Japan,100,11788,ソシエテ・ジェネラル,Societe Generale,112,165120018,FUT_NK225_2012,2020-08-24
50,12560,松井証券,MATSUI SECURITIES,79,12560,松井証券,MATSUI SECURITIES,86,165120018,FUT_NK225_2012,2020-08-24
51,12336,日産証券,Nissan Securities,45,12336,日産証券,Nissan Securities,61,165120018,FUT_NK225_2012,2020-08-24
52,11788,ソシエテ・ジェネラル,Societe Generale,40,11060,ａｕカブコム証券,au Kabucom Securitie,44,165120018,FUT_NK225_2012,2020-08-24
53,12072,東海東京証券,Tokai Tokyo Sec,25,11727,ＧＭＯクリック証券,GMO CLICK Securities,32,165120018,FUT_NK225_2012,2020-08-24
54,11060,ａｕカブコム証券,au Kabucom Securitie,25,11256,ＳＢＩ証券,SBI SECURITIES,21,165120018,FUT_NK225_2012,2020-08-24
55,11256,ＳＢＩ証券,SBI SECURITIES,17,12057,楽天証券,Rakuten Securities,14,165120018,FUT_NK225_2012,2020-08-24
56,12057,楽天証券,Rakuten Securities,13,12330,マネックス証券,Monex,13,165120018,FUT_NK225_2012,2020-08-24
