,institutions_sell_code,institutions_sell,institutions_sell_eng,volume_sell,institutions_buy_code,institutions_buy,institutions_buy_eng,volume_buy,JPX_code,instrument,date
2,11792,シティグループ証券,Citigroup Japan,102.0,11792.0,シティグループ証券,Citigroup Japan,102.0,166030005,FUT_TOPIX_2103,2021-01-15
3,12328,ＳＭＢＣ日興証券,SMBC Nikko Sec,83.0,12328.0,ＳＭＢＣ日興証券,SMBC Nikko Sec,83.0,166030005,FUT_TOPIX_2103,2021-01-15
4,12000,大和証券,Daiwa Securities,31.0,12000.0,大和証券,Daiwa Securities,31.0,166030005,FUT_TOPIX_2103,2021-01-15
5,11256,ＳＢＩ証券,SBI SECURITIES,19.0,11256.0,ＳＢＩ証券,SBI SECURITIES,19.0,166030005,FUT_TOPIX_2103,2021-01-15
6,11696,みずほ証券,Mizuho Securities,6.0,11696.0,みずほ証券,Mizuho Securities,6.0,166030005,FUT_TOPIX_2103,2021-01-15
7,11560,ゴールドマンサックス,Goldman Sachs Japan,5.0,12400.0,野村證券,Nomura Securities,5.0,166030005,FUT_TOPIX_2103,2021-01-15
8,12400,野村證券,Nomura Securities,5.0,11560.0,ゴールドマンサックス,Goldman Sachs Japan,5.0,166030005,FUT_TOPIX_2103,2021-01-15
11,12428,ＢＮＰパリバ証券,BNP Paribas (Japan),1489.0,12428.0,ＢＮＰパリバ証券,BNP Paribas (Japan),1608.0,166030018,FUT_NK225_2103,2021-01-15
12,11256,ＳＢＩ証券,SBI SECURITIES,528.0,11256.0,ＳＢＩ証券,SBI SECURITIES,528.0,166030018,FUT_NK225_2103,2021-01-15
13,11792,シティグループ証券,Citigroup Japan,500.0,11792.0,シティグループ証券,Citigroup Japan,505.0,166030018,FUT_NK225_2103,2021-01-15
14,11788,ソシエテ・ジェネラル,Societe Generale,245.0,12479.0,ＡＢＮアムロクリア,ABN AMRO Clearing,375.0,166030018,FUT_NK225_2103,2021-01-15
15,11696,みずほ証券,Mizuho Securities,233.0,11788.0,ソシエテ・ジェネラル,Societe Generale,234.0,166030018,FUT_NK225_2103,2021-01-15
16,11560,ゴールドマンサックス,Goldman Sachs Japan,216.0,12400.0,野村證券,Nomura Securities,127.0,166030018,FUT_NK225_2103,2021-01-15
17,12400,野村證券,Nomura Securities,127.0,11520.0,三菱ＵＦＪモルガン,Mitsubishi UFJ Mor,66.0,166030018,FUT_NK225_2103,2021-01-15
18,11520,三菱ＵＦＪモルガン,Mitsubishi UFJ Mor,82.0,11696.0,みずほ証券,Mizuho Securities,54.0,166030018,FUT_NK225_2103,2021-01-15
19,12792,BofA証券,BofA Securities,48.0,11746.0,ＵＢＳ証券,UBS Securities Japan,26.0,166030018,FUT_NK225_2103,2021-01-15
20,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,44.0,12724.0,ＨＳＢＣ証券,HSBC (Japan),20.0,166030018,FUT_NK225_2103,2021-01-15
21,11635,クレディ・スイス証券,Credit Suisse Japan,32.0,12000.0,大和証券,Daiwa Securities,17.0,166030018,FUT_NK225_2103,2021-01-15
22,12724,ＨＳＢＣ証券,HSBC (Japan),20.0,11635.0,クレディ・スイス証券,Credit Suisse Japan,4.0,166030018,FUT_NK225_2103,2021-01-15
25,11256,ＳＢＩ証券,SBI SECURITIES,1972.0,11256.0,ＳＢＩ証券,SBI SECURITIES,1972.0,166020019,FUT_NK225M_2102,2021-01-15
28,11256,ＳＢＩ証券,SBI SECURITIES,25497.0,11256.0,ＳＢＩ証券,SBI SECURITIES,25497.0,166030019,FUT_NK225M_2103,2021-01-15
29,12800,モルガンスタンレー,Morgan Stanley MUFG,35.0,12800.0,モルガンスタンレー,Morgan Stanley MUFG,35.0,166030019,FUT_NK225M_2103,2021-01-15
32,11256,ＳＢＩ証券,SBI SECURITIES,3.0,11256.0,ＳＢＩ証券,SBI SECURITIES,3.0,166040019,FUT_NK225M_2104,2021-01-15
35,11256,ＳＢＩ証券,SBI SECURITIES,203.0,11256.0,ＳＢＩ証券,SBI SECURITIES,203.0,186027518,PUT_NK225_210212_27500,2021-01-15
38,11256,ＳＢＩ証券,SBI SECURITIES,3.0,11256.0,ＳＢＩ証券,SBI SECURITIES,3.0,136027618,PUT_NK225_210212_27625,2021-01-15
41,11256,ＳＢＩ証券,SBI SECURITIES,10.0,11256.0,ＳＢＩ証券,SBI SECURITIES,10.0,186027718,PUT_NK225_210212_27750,2021-01-15
44,11256,ＳＢＩ証券,SBI SECURITIES,2.0,11256.0,ＳＢＩ証券,SBI SECURITIES,2.0,136027818,PUT_NK225_210212_27875,2021-01-15
47,11256,ＳＢＩ証券,SBI SECURITIES,69.0,11256.0,ＳＢＩ証券,SBI SECURITIES,69.0,186028018,PUT_NK225_210212_28000,2021-01-15
50,11256,ＳＢＩ証券,SBI SECURITIES,1.0,11256.0,ＳＢＩ証券,SBI SECURITIES,1.0,136028118,PUT_NK225_210212_28125,2021-01-15
53,11256,ＳＢＩ証券,SBI SECURITIES,4.0,11256.0,ＳＢＩ証券,SBI SECURITIES,4.0,186028218,PUT_NK225_210212_28250,2021-01-15
56,12792,BofA証券,BofA Securities,100.0,11746.0,ＵＢＳ証券,UBS Securities Japan,100.0,186028518,PUT_NK225_210212_28500,2021-01-15
57,11256,ＳＢＩ証券,SBI SECURITIES,11.0,11256.0,ＳＢＩ証券,SBI SECURITIES,11.0,186028518,PUT_NK225_210212_28500,2021-01-15
60,11256,ＳＢＩ証券,SBI SECURITIES,3.0,11256.0,ＳＢＩ証券,SBI SECURITIES,3.0,136028618,PUT_NK225_210212_28625,2021-01-15
63,11256,ＳＢＩ証券,SBI SECURITIES,11.0,11256.0,ＳＢＩ証券,SBI SECURITIES,11.0,186028718,PUT_NK225_210212_28750,2021-01-15
66,11256,ＳＢＩ証券,SBI SECURITIES,121.0,11256.0,ＳＢＩ証券,SBI SECURITIES,121.0,196029518,CAL_NK225_210212_29500,2021-01-15
67,12792,BofA証券,BofA Securities,100.0,12479.0,ＡＢＮアムロクリア,ABN AMRO Clearing,100.0,196029518,CAL_NK225_210212_29500,2021-01-15
70,11256,ＳＢＩ証券,SBI SECURITIES,9.0,11256.0,ＳＢＩ証券,SBI SECURITIES,9.0,146029318,CAL_NK225_210212_29375,2021-01-15
73,11256,ＳＢＩ証券,SBI SECURITIES,10.0,11256.0,ＳＢＩ証券,SBI SECURITIES,10.0,196029218,CAL_NK225_210212_29250,2021-01-15
76,11256,ＳＢＩ証券,SBI SECURITIES,8.0,11256.0,ＳＢＩ証券,SBI SECURITIES,8.0,146029118,CAL_NK225_210212_29125,2021-01-15
79,11256,ＳＢＩ証券,SBI SECURITIES,381.0,11256.0,ＳＢＩ証券,SBI SECURITIES,381.0,196029018,CAL_NK225_210212_29000,2021-01-15
82,11256,ＳＢＩ証券,SBI SECURITIES,1.0,11256.0,ＳＢＩ証券,SBI SECURITIES,1.0,146028818,CAL_NK225_210212_28875,2021-01-15
85,11256,ＳＢＩ証券,SBI SECURITIES,7.0,11256.0,ＳＢＩ証券,SBI SECURITIES,7.0,196028718,CAL_NK225_210212_28750,2021-01-15
