,institutions_sell_code,institutions_sell,institutions_sell_eng,volume_sell,institutions_buy_code,institutions_buy,institutions_buy_eng,volume_buy,JPX_code,instrument,date
2,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,3888,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,4101,165090005,FUT_TOPIX_2009,2020-08-21
3,11788,ソシエテ・ジェネラル,Societe Generale,1849,11788,ソシエテ・ジェネラル,Societe Generale,2051,165090005,FUT_TOPIX_2009,2020-08-21
4,12792,メリルリンチ日本証券,Merrill Lynch Japan,528,11714,ＪＰモルガン証券,JPMorgan Japan,549,165090005,FUT_TOPIX_2009,2020-08-21
5,11714,ＪＰモルガン証券,JPMorgan Japan,408,12410,バークレイズ証券,Barclays Japan,336,165090005,FUT_TOPIX_2009,2020-08-21
6,11746,ＵＢＳ証券,UBS Securities Japan,374,12724,ＨＳＢＣ証券,HSBC (Japan),309,165090005,FUT_TOPIX_2009,2020-08-21
7,11635,クレディ・スイス証券,Credit Suisse Japan,290,12800,モルガンスタンレー,Morgan Stanley MUFG,241,165090005,FUT_TOPIX_2009,2020-08-21
8,12800,モルガンスタンレー,Morgan Stanley MUFG,283,12792,メリルリンチ日本証券,Merrill Lynch Japan,166,165090005,FUT_TOPIX_2009,2020-08-21
9,12410,バークレイズ証券,Barclays Japan,243,11560,ゴールドマンサックス,Goldman Sachs Japan,162,165090005,FUT_TOPIX_2009,2020-08-21
10,11560,ゴールドマンサックス,Goldman Sachs Japan,221,11746,ＵＢＳ証券,UBS Securities Japan,114,165090005,FUT_TOPIX_2009,2020-08-21
11,12795,インタラクティブ証券,Interactive Brokers,152,11635,クレディ・スイス証券,Credit Suisse Japan,96,165090005,FUT_TOPIX_2009,2020-08-21
12,12400,野村證券,Nomura Securities,124,12336,日産証券,Nissan Securities,78,165090005,FUT_TOPIX_2009,2020-08-21
13,11792,シティグループ証券,Citigroup Japan,42,12428,ＢＮＰパリバ証券,BNP Paribas (Japan),65,165090005,FUT_TOPIX_2009,2020-08-21
14,12336,日産証券,Nissan Securities,33,11792,シティグループ証券,Citigroup Japan,56,165090005,FUT_TOPIX_2009,2020-08-21
15,11256,ＳＢＩ証券,SBI SECURITIES,25,11696,みずほ証券,Mizuho Securities,51,165090005,FUT_TOPIX_2009,2020-08-21
16,12560,松井証券,MATSUI SECURITIES,22,11272,岡三証券,OKASAN SECURITIES,48,165090005,FUT_TOPIX_2009,2020-08-21
17,12888,山和証券,YAMAWA SECURITIES,17,12400,野村證券,Nomura Securities,42,165090005,FUT_TOPIX_2009,2020-08-21
18,11272,岡三証券,OKASAN SECURITIES,10,12888,山和証券,YAMAWA SECURITIES,23,165090005,FUT_TOPIX_2009,2020-08-21
19,11060,ａｕカブコム証券,au Kabucom Securitie,8,11256,ＳＢＩ証券,SBI SECURITIES,23,165090005,FUT_TOPIX_2009,2020-08-21
20,11696,みずほ証券,Mizuho Securities,7,11060,ａｕカブコム証券,au Kabucom Securitie,11,165090005,FUT_TOPIX_2009,2020-08-21
21,11056,安藤証券,ANDO SECURITIES,6,12795,インタラクティブ証券,Interactive Brokers,10,165090005,FUT_TOPIX_2009,2020-08-21
24,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,6953,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,6583,165090018,FUT_NK225_2009,2020-08-21
25,11788,ソシエテ・ジェネラル,Societe Generale,3610,11788,ソシエテ・ジェネラル,Societe Generale,3806,165090018,FUT_NK225_2009,2020-08-21
26,12336,日産証券,Nissan Securities,472,12560,松井証券,MATSUI SECURITIES,460,165090018,FUT_NK225_2009,2020-08-21
27,12560,松井証券,MATSUI SECURITIES,465,12800,モルガンスタンレー,Morgan Stanley MUFG,408,165090018,FUT_NK225_2009,2020-08-21
28,11256,ＳＢＩ証券,SBI SECURITIES,387,12792,メリルリンチ日本証券,Merrill Lynch Japan,390,165090018,FUT_NK225_2009,2020-08-21
29,12057,楽天証券,Rakuten Securities,341,11256,ＳＢＩ証券,SBI SECURITIES,315,165090018,FUT_NK225_2009,2020-08-21
30,12792,メリルリンチ日本証券,Merrill Lynch Japan,292,12057,楽天証券,Rakuten Securities,287,165090018,FUT_NK225_2009,2020-08-21
31,11060,ａｕカブコム証券,au Kabucom Securitie,274,11560,ゴールドマンサックス,Goldman Sachs Japan,224,165090018,FUT_NK225_2009,2020-08-21
32,11635,クレディ・スイス証券,Credit Suisse Japan,235,11635,クレディ・スイス証券,Credit Suisse Japan,223,165090018,FUT_NK225_2009,2020-08-21
33,12400,野村證券,Nomura Securities,161,11746,ＵＢＳ証券,UBS Securities Japan,208,165090018,FUT_NK225_2009,2020-08-21
34,12330,マネックス証券,Monex,157,12330,マネックス証券,Monex,147,165090018,FUT_NK225_2009,2020-08-21
35,12795,インタラクティブ証券,Interactive Brokers,109,11060,ａｕカブコム証券,au Kabucom Securitie,145,165090018,FUT_NK225_2009,2020-08-21
