,institutions_sell_code,institutions_sell,institutions_sell_eng,volume_sell,institutions_buy_code,institutions_buy,institutions_buy_eng,volume_buy,JPX_code,instrument,date
2,11696,みずほ証券,Mizuho Securities,99.0,11696.0,みずほ証券,Mizuho Securities,99.0,165090005,FUT_TOPIX_2009,2020-08-28
3,11520,三菱ＵＦＪモルガン,Mitsubishi UFJ Mor,75.0,11520.0,三菱ＵＦＪモルガン,Mitsubishi UFJ Mor,75.0,165090005,FUT_TOPIX_2009,2020-08-28
4,11256,ＳＢＩ証券,SBI SECURITIES,21.0,11256.0,ＳＢＩ証券,SBI SECURITIES,21.0,165090005,FUT_TOPIX_2009,2020-08-28
5,12800,モルガンスタンレー,Morgan Stanley MUFG,13.0,12800.0,モルガンスタンレー,Morgan Stanley MUFG,13.0,165090005,FUT_TOPIX_2009,2020-08-28
6,12328,ＳＭＢＣ日興証券,SMBC Nikko Sec,11.0,12328.0,ＳＭＢＣ日興証券,SMBC Nikko Sec,11.0,165090005,FUT_TOPIX_2009,2020-08-28
9,11256,ＳＢＩ証券,SBI SECURITIES,446.0,12479.0,ＡＢＮアムロクリア,ABN AMRO Clearing,501.0,165090018,FUT_NK225_2009,2020-08-28
10,11788,ソシエテ・ジェネラル,Societe Generale,395.0,11256.0,ＳＢＩ証券,SBI SECURITIES,446.0,165090018,FUT_NK225_2009,2020-08-28
11,12400,野村證券,Nomura Securities,267.0,12428.0,ＢＮＰパリバ証券,BNP Paribas (Japan),120.0,165090018,FUT_NK225_2009,2020-08-28
12,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,43.0,12400.0,野村證券,Nomura Securities,67.0,165090018,FUT_NK225_2009,2020-08-28
13,11635,クレディ・スイス証券,Credit Suisse Japan,15.0,12410.0,バークレイズ証券,Barclays Japan,23.0,165090018,FUT_NK225_2009,2020-08-28
14,12428,ＢＮＰパリバ証券,BNP Paribas (Japan),6.0,11788.0,ソシエテ・ジェネラル,Societe Generale,15.0,165090018,FUT_NK225_2009,2020-08-28
17,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,189.0,11788.0,ソシエテ・ジェネラル,Societe Generale,189.0,165120018,FUT_NK225_2012,2020-08-28
18,11256,ＳＢＩ証券,SBI SECURITIES,8.0,11256.0,ＳＢＩ証券,SBI SECURITIES,8.0,165120018,FUT_NK225_2012,2020-08-28
21,11256,ＳＢＩ証券,SBI SECURITIES,28181.0,11256.0,ＳＢＩ証券,SBI SECURITIES,28181.0,165090019,FUT_NK225M_2009,2020-08-28
22,12800,モルガンスタンレー,Morgan Stanley MUFG,21.0,12800.0,モルガンスタンレー,Morgan Stanley MUFG,21.0,165090019,FUT_NK225M_2009,2020-08-28
25,11256,ＳＢＩ証券,SBI SECURITIES,54.0,11256.0,ＳＢＩ証券,SBI SECURITIES,54.0,165100019,FUT_NK225M_2010,2020-08-28
28,11256,ＳＢＩ証券,SBI SECURITIES,13.0,11256.0,ＳＢＩ証券,SBI SECURITIES,13.0,165110019,FUT_NK225M_2011,2020-08-28
31,11256,ＳＢＩ証券,SBI SECURITIES,7.0,11256.0,ＳＢＩ証券,SBI SECURITIES,7.0,135091818,PUT_NK225_200911_21875,2020-08-28
34,11256,ＳＢＩ証券,SBI SECURITIES,76.0,11256.0,ＳＢＩ証券,SBI SECURITIES,76.0,135092018,PUT_NK225_200911_22000,2020-08-28
37,11256,ＳＢＩ証券,SBI SECURITIES,3.0,11256.0,ＳＢＩ証券,SBI SECURITIES,3.0,135092118,PUT_NK225_200911_22125,2020-08-28
40,11256,ＳＢＩ証券,SBI SECURITIES,23.0,11256.0,ＳＢＩ証券,SBI SECURITIES,23.0,135092218,PUT_NK225_200911_22250,2020-08-28
43,11256,ＳＢＩ証券,SBI SECURITIES,6.0,11256.0,ＳＢＩ証券,SBI SECURITIES,6.0,135092318,PUT_NK225_200911_22375,2020-08-28
46,11256,ＳＢＩ証券,SBI SECURITIES,149.0,11256.0,ＳＢＩ証券,SBI SECURITIES,149.0,135092518,PUT_NK225_200911_22500,2020-08-28
49,11256,ＳＢＩ証券,SBI SECURITIES,9.0,11256.0,ＳＢＩ証券,SBI SECURITIES,9.0,135092618,PUT_NK225_200911_22625,2020-08-28
52,11256,ＳＢＩ証券,SBI SECURITIES,4.0,11256.0,ＳＢＩ証券,SBI SECURITIES,4.0,135092718,PUT_NK225_200911_22750,2020-08-28
