,institutions_sell_code,institutions_sell,institutions_sell_eng,volume_sell,institutions_buy_code,institutions_buy,institutions_buy_eng,volume_buy,JPX_code,instrument,date
2,11714,ＪＰモルガン証券,JPMorgan Japan,80,11696,みずほ証券,Mizuho Securities,80,165090005,FUT_TOPIX_2009,2020-08-27
3,12328,ＳＭＢＣ日興証券,SMBC Nikko Sec,33,12328,ＳＭＢＣ日興証券,SMBC Nikko Sec,33,165090005,FUT_TOPIX_2009,2020-08-27
4,11256,ＳＢＩ証券,SBI SECURITIES,22,11256,ＳＢＩ証券,SBI SECURITIES,22,165090005,FUT_TOPIX_2009,2020-08-27
7,11256,ＳＢＩ証券,SBI SECURITIES,349,11256,ＳＢＩ証券,SBI SECURITIES,349,165090018,FUT_NK225_2009,2020-08-27
8,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,296,11792,シティグループ証券,Citigroup Japan,220,165090018,FUT_NK225_2009,2020-08-27
9,12800,モルガンスタンレー,Morgan Stanley MUFG,165,11714,ＪＰモルガン証券,JPMorgan Japan,148,165090018,FUT_NK225_2009,2020-08-27
10,11635,クレディ・スイス証券,Credit Suisse Japan,132,12410,バークレイズ証券,Barclays Japan,89,165090018,FUT_NK225_2009,2020-08-27
11,12400,野村證券,Nomura Securities,11,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,67,165090018,FUT_NK225_2009,2020-08-27
12,11696,みずほ証券,Mizuho Securities,1,11560,ゴールドマンサックス,Goldman Sachs Japan,21,165090018,FUT_NK225_2009,2020-08-27
13,12410,バークレイズ証券,Barclays Japan,1,12792,メリルリンチ日本証券,Merrill Lynch Japan,17,165090018,FUT_NK225_2009,2020-08-27
14,-,-,-,-,12800,モルガンスタンレー,Morgan Stanley MUFG,16,165090018,FUT_NK225_2009,2020-08-27
15,-,-,-,-,11635,クレディ・スイス証券,Credit Suisse Japan,16,165090018,FUT_NK225_2009,2020-08-27
16,-,-,-,-,12400,野村證券,Nomura Securities,11,165090018,FUT_NK225_2009,2020-08-27
17,-,-,-,-,11696,みずほ証券,Mizuho Securities,1,165090018,FUT_NK225_2009,2020-08-27
20,11256,ＳＢＩ証券,SBI SECURITIES,4,11256,ＳＢＩ証券,SBI SECURITIES,4,165120018,FUT_NK225_2012,2020-08-27
23,11256,ＳＢＩ証券,SBI SECURITIES,22037,11256,ＳＢＩ証券,SBI SECURITIES,22037,165090019,FUT_NK225M_2009,2020-08-27
24,12800,モルガンスタンレー,Morgan Stanley MUFG,5,12800,モルガンスタンレー,Morgan Stanley MUFG,5,165090019,FUT_NK225M_2009,2020-08-27
27,11256,ＳＢＩ証券,SBI SECURITIES,35,11256,ＳＢＩ証券,SBI SECURITIES,35,165100019,FUT_NK225M_2010,2020-08-27
30,11256,ＳＢＩ証券,SBI SECURITIES,7,11256,ＳＢＩ証券,SBI SECURITIES,7,165110019,FUT_NK225M_2011,2020-08-27
33,11256,ＳＢＩ証券,SBI SECURITIES,1,11256,ＳＢＩ証券,SBI SECURITIES,1,135092218,PUT_NK225_200911_22250,2020-08-27
36,11635,クレディ・スイス証券,Credit Suisse Japan,600,11792,シティグループ証券,Citigroup Japan,1000,135092518,PUT_NK225_200911_22500,2020-08-27
37,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,400,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,100,135092518,PUT_NK225_200911_22500,2020-08-27
38,12792,メリルリンチ日本証券,Merrill Lynch Japan,100,11256,ＳＢＩ証券,SBI SECURITIES,26,135092518,PUT_NK225_200911_22500,2020-08-27
39,11256,ＳＢＩ証券,SBI SECURITIES,26,-,-,-,-,135092518,PUT_NK225_200911_22500,2020-08-27
42,11256,ＳＢＩ証券,SBI SECURITIES,6,11256,ＳＢＩ証券,SBI SECURITIES,6,135092618,PUT_NK225_200911_22625,2020-08-27
45,11256,ＳＢＩ証券,SBI SECURITIES,5,11256,ＳＢＩ証券,SBI SECURITIES,5,135092718,PUT_NK225_200911_22750,2020-08-27
48,11256,ＳＢＩ証券,SBI SECURITIES,2,11256,ＳＢＩ証券,SBI SECURITIES,2,135092818,PUT_NK225_200911_22875,2020-08-27
51,12410,バークレイズ証券,Barclays Japan,150,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,150,135093018,PUT_NK225_200911_23000,2020-08-27
52,11256,ＳＢＩ証券,SBI SECURITIES,14,11256,ＳＢＩ証券,SBI SECURITIES,14,135093018,PUT_NK225_200911_23000,2020-08-27
55,11256,ＳＢＩ証券,SBI SECURITIES,2,11256,ＳＢＩ証券,SBI SECURITIES,2,135093118,PUT_NK225_200911_23125,2020-08-27
58,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,300,12410,バークレイズ証券,Barclays Japan,300,135093218,PUT_NK225_200911_23250,2020-08-27
59,11256,ＳＢＩ証券,SBI SECURITIES,5,11256,ＳＢＩ証券,SBI SECURITIES,5,135093218,PUT_NK225_200911_23250,2020-08-27
62,11256,ＳＢＩ証券,SBI SECURITIES,2,11256,ＳＢＩ証券,SBI SECURITIES,2,135093318,PUT_NK225_200911_23375,2020-08-27
65,12410,バークレイズ証券,Barclays Japan,150,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,150,135093518,PUT_NK225_200911_23500,2020-08-27
66,11256,ＳＢＩ証券,SBI SECURITIES,3,11256,ＳＢＩ証券,SBI SECURITIES,3,135093518,PUT_NK225_200911_23500,2020-08-27
