,institutions_sell_code,institutions_sell,institutions_sell_eng,volume_sell,institutions_buy_code,institutions_buy,institutions_buy_eng,volume_buy,JPX_code,instrument,date
2,11256,ＳＢＩ証券,SBI SECURITIES,7,11256.0,ＳＢＩ証券,SBI SECURITIES,7.0,166030005,FUT_TOPIX_2103,2021-01-14
3,11560,ゴールドマンサックス,Goldman Sachs Japan,4,11560.0,ゴールドマンサックス,Goldman Sachs Japan,4.0,166030005,FUT_TOPIX_2103,2021-01-14
6,11256,ＳＢＩ証券,SBI SECURITIES,204,11256.0,ＳＢＩ証券,SBI SECURITIES,204.0,166030018,FUT_NK225_2103,2021-01-14
7,11696,みずほ証券,Mizuho Securities,105,12400.0,野村證券,Nomura Securities,74.0,166030018,FUT_NK225_2103,2021-01-14
8,11560,ゴールドマンサックス,Goldman Sachs Japan,69,12792.0,BofA証券,BofA Securities,71.0,166030018,FUT_NK225_2103,2021-01-14
9,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,60,12479.0,ＡＢＮアムロクリア,ABN AMRO Clearing,68.0,166030018,FUT_NK225_2103,2021-01-14
10,11788,ソシエテ・ジェネラル,Societe Generale,48,11560.0,ゴールドマンサックス,Goldman Sachs Japan,43.0,166030018,FUT_NK225_2103,2021-01-14
11,12428,ＢＮＰパリバ証券,BNP Paribas (Japan),30,11696.0,みずほ証券,Mizuho Securities,37.0,166030018,FUT_NK225_2103,2021-01-14
12,11714,ＪＰモルガン証券,JPMorgan Japan,26,11714.0,ＪＰモルガン証券,JPMorgan Japan,27.0,166030018,FUT_NK225_2103,2021-01-14
13,-,-,-,-,11792.0,シティグループ証券,Citigroup Japan,18.0,166030018,FUT_NK225_2103,2021-01-14
16,11256,ＳＢＩ証券,SBI SECURITIES,7,11256.0,ＳＢＩ証券,SBI SECURITIES,7.0,166060018,FUT_NK225_2106,2021-01-14
19,11256,ＳＢＩ証券,SBI SECURITIES,1297,11256.0,ＳＢＩ証券,SBI SECURITIES,1297.0,166020019,FUT_NK225M_2102,2021-01-14
22,11256,ＳＢＩ証券,SBI SECURITIES,17310,11256.0,ＳＢＩ証券,SBI SECURITIES,17310.0,166030019,FUT_NK225M_2103,2021-01-14
25,11256,ＳＢＩ証券,SBI SECURITIES,12,11256.0,ＳＢＩ証券,SBI SECURITIES,12.0,166040019,FUT_NK225M_2104,2021-01-14
28,11256,ＳＢＩ証券,SBI SECURITIES,1,11256.0,ＳＢＩ証券,SBI SECURITIES,1.0,136027818,PUT_NK225_210212_27875,2021-01-14
31,11256,ＳＢＩ証券,SBI SECURITIES,24,11256.0,ＳＢＩ証券,SBI SECURITIES,24.0,186028018,PUT_NK225_210212_28000,2021-01-14
34,11256,ＳＢＩ証券,SBI SECURITIES,3,11256.0,ＳＢＩ証券,SBI SECURITIES,3.0,186028218,PUT_NK225_210212_28250,2021-01-14
37,11256,ＳＢＩ証券,SBI SECURITIES,2,11256.0,ＳＢＩ証券,SBI SECURITIES,2.0,136028318,PUT_NK225_210212_28375,2021-01-14
40,11256,ＳＢＩ証券,SBI SECURITIES,4,11256.0,ＳＢＩ証券,SBI SECURITIES,4.0,186028518,PUT_NK225_210212_28500,2021-01-14
43,11256,ＳＢＩ証券,SBI SECURITIES,1,11256.0,ＳＢＩ証券,SBI SECURITIES,1.0,136028818,PUT_NK225_210212_28875,2021-01-14
46,11256,ＳＢＩ証券,SBI SECURITIES,14,11256.0,ＳＢＩ証券,SBI SECURITIES,14.0,196029718,CAL_NK225_210212_29750,2021-01-14
49,11256,ＳＢＩ証券,SBI SECURITIES,15,11256.0,ＳＢＩ証券,SBI SECURITIES,15.0,146029618,CAL_NK225_210212_29625,2021-01-14
52,11256,ＳＢＩ証券,SBI SECURITIES,27,11256.0,ＳＢＩ証券,SBI SECURITIES,27.0,196029518,CAL_NK225_210212_29500,2021-01-14
55,11256,ＳＢＩ証券,SBI SECURITIES,6,11256.0,ＳＢＩ証券,SBI SECURITIES,6.0,146029318,CAL_NK225_210212_29375,2021-01-14
58,11714,ＪＰモルガン証券,JPMorgan Japan,30,11714.0,ＪＰモルガン証券,JPMorgan Japan,30.0,196029218,CAL_NK225_210212_29250,2021-01-14
59,11256,ＳＢＩ証券,SBI SECURITIES,5,11256.0,ＳＢＩ証券,SBI SECURITIES,5.0,196029218,CAL_NK225_210212_29250,2021-01-14
62,11256,ＳＢＩ証券,SBI SECURITIES,2,11256.0,ＳＢＩ証券,SBI SECURITIES,2.0,146029118,CAL_NK225_210212_29125,2021-01-14
65,11256,ＳＢＩ証券,SBI SECURITIES,271,11256.0,ＳＢＩ証券,SBI SECURITIES,271.0,196029018,CAL_NK225_210212_29000,2021-01-14
68,11256,ＳＢＩ証券,SBI SECURITIES,1,11256.0,ＳＢＩ証券,SBI SECURITIES,1.0,146028818,CAL_NK225_210212_28875,2021-01-14
71,11256,ＳＢＩ証券,SBI SECURITIES,7,11256.0,ＳＢＩ証券,SBI SECURITIES,7.0,196028718,CAL_NK225_210212_28750,2021-01-14
74,12792,BofA証券,BofA Securities,100,11696.0,みずほ証券,Mizuho Securities,100.0,196028518,CAL_NK225_210212_28500,2021-01-14
75,11256,ＳＢＩ証券,SBI SECURITIES,8,11256.0,ＳＢＩ証券,SBI SECURITIES,8.0,196028518,CAL_NK225_210212_28500,2021-01-14
