,institutions_sell_code,institutions_sell,institutions_sell_eng,volume_sell,institutions_buy_code,institutions_buy,institutions_buy_eng,volume_buy,JPX_code,instrument,date
2,11520,三菱ＵＦＪモルガン,Mitsubishi UFJ Mor,117,11520,三菱ＵＦＪモルガン,Mitsubishi UFJ Mor,117,165090005,FUT_TOPIX_2009,2020-08-12
3,11256,ＳＢＩ証券,SBI SECURITIES,65,11256,ＳＢＩ証券,SBI SECURITIES,65,165090005,FUT_TOPIX_2009,2020-08-12
6,11256,ＳＢＩ証券,SBI SECURITIES,458,11256,ＳＢＩ証券,SBI SECURITIES,458,165090018,FUT_NK225_2009,2020-08-12
7,12792,メリルリンチ日本証券,Merrill Lynch Japan,400,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,326,165090018,FUT_NK225_2009,2020-08-12
8,11788,ソシエテ・ジェネラル,Societe Generale,200,11635,クレディ・スイス証券,Credit Suisse Japan,200,165090018,FUT_NK225_2009,2020-08-12
9,12000,大和証券,Daiwa Securities,200,11788,ソシエテ・ジェネラル,Societe Generale,200,165090018,FUT_NK225_2009,2020-08-12
10,12400,野村證券,Nomura Securities,160,11696,みずほ証券,Mizuho Securities,200,165090018,FUT_NK225_2009,2020-08-12
11,11746,ＵＢＳ証券,UBS Securities Japan,87,12400,野村證券,Nomura Securities,160,165090018,FUT_NK225_2009,2020-08-12
12,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,78,12410,バークレイズ証券,Barclays Japan,44,165090018,FUT_NK225_2009,2020-08-12
13,11560,ゴールドマンサックス,Goldman Sachs Japan,36,12792,メリルリンチ日本証券,Merrill Lynch Japan,27,165090018,FUT_NK225_2009,2020-08-12
14,-,-,-,-,12072,東海東京証券,Tokai Tokyo Sec,4,165090018,FUT_NK225_2009,2020-08-12
17,11256,ＳＢＩ証券,SBI SECURITIES,18,11256,ＳＢＩ証券,SBI SECURITIES,18,165120018,FUT_NK225_2012,2020-08-12
20,11256,ＳＢＩ証券,SBI SECURITIES,4781,11256,ＳＢＩ証券,SBI SECURITIES,4781,165080019,FUT_NK225M_2008,2020-08-12
21,11635,クレディ・スイス証券,Credit Suisse Japan,2000,12792,メリルリンチ日本証券,Merrill Lynch Japan,4000,165080019,FUT_NK225M_2008,2020-08-12
22,11788,ソシエテ・ジェネラル,Societe Generale,2000,12000,大和証券,Daiwa Securities,2000,165080019,FUT_NK225M_2008,2020-08-12
23,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,2000,11788,ソシエテ・ジェネラル,Societe Generale,2000,165080019,FUT_NK225M_2008,2020-08-12
24,11696,みずほ証券,Mizuho Securities,2000,-,-,-,-,165080019,FUT_NK225M_2008,2020-08-12
27,11256,ＳＢＩ証券,SBI SECURITIES,31708,11256,ＳＢＩ証券,SBI SECURITIES,31708,165090019,FUT_NK225M_2009,2020-08-12
30,11256,ＳＢＩ証券,SBI SECURITIES,68,11256,ＳＢＩ証券,SBI SECURITIES,68,165100019,FUT_NK225M_2010,2020-08-12
33,11256,ＳＢＩ証券,SBI SECURITIES,20,11256,ＳＢＩ証券,SBI SECURITIES,20,135081818,PUT_NK225_200814_21875,2020-08-12
