,institutions_sell_code,institutions_sell,institutions_sell_eng,volume_sell,institutions_buy_code,institutions_buy,institutions_buy_eng,volume_buy,JPX_code,instrument,date
2,11788,ソシエテ・ジェネラル,Societe Generale,11206,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,10871,166030005,FUT_TOPIX_2103,2021-01-13
3,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,10935,11788,ソシエテ・ジェネラル,Societe Generale,10653,166030005,FUT_TOPIX_2103,2021-01-13
4,12800,モルガンスタンレー,Morgan Stanley MUFG,2483,12792,BofA証券,BofA Securities,2435,166030005,FUT_TOPIX_2103,2021-01-13
5,12410,バークレイズ証券,Barclays Japan,2209,11560,ゴールドマンサックス,Goldman Sachs Japan,1668,166030005,FUT_TOPIX_2103,2021-01-13
6,11560,ゴールドマンサックス,Goldman Sachs Japan,1370,12800,モルガンスタンレー,Morgan Stanley MUFG,1310,166030005,FUT_TOPIX_2103,2021-01-13
7,12792,BofA証券,BofA Securities,1026,11714,ＪＰモルガン証券,JPMorgan Japan,943,166030005,FUT_TOPIX_2103,2021-01-13
8,11714,ＪＰモルガン証券,JPMorgan Japan,877,11635,クレディ・スイス証券,Credit Suisse Japan,925,166030005,FUT_TOPIX_2103,2021-01-13
9,11635,クレディ・スイス証券,Credit Suisse Japan,641,11696,みずほ証券,Mizuho Securities,913,166030005,FUT_TOPIX_2103,2021-01-13
10,11696,みずほ証券,Mizuho Securities,575,12410,バークレイズ証券,Barclays Japan,779,166030005,FUT_TOPIX_2103,2021-01-13
11,12428,ＢＮＰパリバ証券,BNP Paribas (Japan),556,12400,野村證券,Nomura Securities,751,166030005,FUT_TOPIX_2103,2021-01-13
12,12400,野村證券,Nomura Securities,535,12795,インタラクティブ証券,Interactive Brokers,444,166030005,FUT_TOPIX_2103,2021-01-13
13,12176,ドイツ証券,Deutsche Securities,319,11256,ＳＢＩ証券,SBI SECURITIES,405,166030005,FUT_TOPIX_2103,2021-01-13
