,institutions_sell_code,institutions_sell,institutions_sell_eng,volume_sell,institutions_buy_code,institutions_buy,institutions_buy_eng,volume_buy,JPX_code,instrument,date
2,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,28332,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,28037,165090005,FUT_TOPIX_2009,2020-08-28
3,11788,ソシエテ・ジェネラル,Societe Generale,26490,11788,ソシエテ・ジェネラル,Societe Generale,26892,165090005,FUT_TOPIX_2009,2020-08-28
4,12792,メリルリンチ日本証券,Merrill Lynch Japan,2732,12410,バークレイズ証券,Barclays Japan,3116,165090005,FUT_TOPIX_2009,2020-08-28
5,11635,クレディ・スイス証券,Credit Suisse Japan,2658,11714,ＪＰモルガン証券,JPMorgan Japan,2939,165090005,FUT_TOPIX_2009,2020-08-28
6,12800,モルガンスタンレー,Morgan Stanley MUFG,2353,12792,メリルリンチ日本証券,Merrill Lynch Japan,2768,165090005,FUT_TOPIX_2009,2020-08-28
7,11560,ゴールドマンサックス,Goldman Sachs Japan,2229,11635,クレディ・スイス証券,Credit Suisse Japan,2658,165090005,FUT_TOPIX_2009,2020-08-28
8,12400,野村證券,Nomura Securities,2221,12400,野村證券,Nomura Securities,2560,165090005,FUT_TOPIX_2009,2020-08-28
9,11714,ＪＰモルガン証券,JPMorgan Japan,2217,12800,モルガンスタンレー,Morgan Stanley MUFG,1392,165090005,FUT_TOPIX_2009,2020-08-28
10,12000,大和証券,Daiwa Securities,1875,12176,ドイツ証券,Deutsche Securities,1298,165090005,FUT_TOPIX_2009,2020-08-28
11,11696,みずほ証券,Mizuho Securities,1390,12328,ＳＭＢＣ日興証券,SMBC Nikko Sec,1111,165090005,FUT_TOPIX_2009,2020-08-28
12,12410,バークレイズ証券,Barclays Japan,1201,11696,みずほ証券,Mizuho Securities,1051,165090005,FUT_TOPIX_2009,2020-08-28
13,12428,ＢＮＰパリバ証券,BNP Paribas (Japan),1115,11560,ゴールドマンサックス,Goldman Sachs Japan,949,165090005,FUT_TOPIX_2009,2020-08-28
14,12176,ドイツ証券,Deutsche Securities,939,11256,ＳＢＩ証券,SBI SECURITIES,912,165090005,FUT_TOPIX_2009,2020-08-28
15,11792,シティグループ証券,Citigroup Japan,890,11792,シティグループ証券,Citigroup Japan,806,165090005,FUT_TOPIX_2009,2020-08-28
16,12328,ＳＭＢＣ日興証券,SMBC Nikko Sec,623,12724,ＨＳＢＣ証券,HSBC (Japan),704,165090005,FUT_TOPIX_2009,2020-08-28
17,11746,ＵＢＳ証券,UBS Securities Japan,555,12428,ＢＮＰパリバ証券,BNP Paribas (Japan),657,165090005,FUT_TOPIX_2009,2020-08-28
18,12896,豊証券,Yutaka Securities,483,11746,ＵＢＳ証券,UBS Securities Japan,532,165090005,FUT_TOPIX_2009,2020-08-28
19,12336,日産証券,Nissan Securities,423,12000,大和証券,Daiwa Securities,491,165090005,FUT_TOPIX_2009,2020-08-28
20,11256,ＳＢＩ証券,SBI SECURITIES,408,12336,日産証券,Nissan Securities,460,165090005,FUT_TOPIX_2009,2020-08-28
21,12724,ＨＳＢＣ証券,HSBC (Japan),405,12896,豊証券,Yutaka Securities,448,165090005,FUT_TOPIX_2009,2020-08-28
24,12336,日産証券,Nissan Securities,2,11788,ソシエテ・ジェネラル,Societe Generale,2,165120005,FUT_TOPIX_2012,2020-08-28
27,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,27491,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,28995,165090018,FUT_NK225_2009,2020-08-28
28,11788,ソシエテ・ジェネラル,Societe Generale,20726,11788,ソシエテ・ジェネラル,Societe Generale,21775,165090018,FUT_NK225_2009,2020-08-28
29,12400,野村證券,Nomura Securities,3256,11256,ＳＢＩ証券,SBI SECURITIES,3843,165090018,FUT_NK225_2009,2020-08-28
30,11256,ＳＢＩ証券,SBI SECURITIES,3033,12792,メリルリンチ日本証券,Merrill Lynch Japan,3662,165090018,FUT_NK225_2009,2020-08-28
31,12792,メリルリンチ日本証券,Merrill Lynch Japan,2701,12400,野村證券,Nomura Securities,1841,165090018,FUT_NK225_2009,2020-08-28
32,11792,シティグループ証券,Citigroup Japan,2574,12057,楽天証券,Rakuten Securities,1566,165090018,FUT_NK225_2009,2020-08-28
33,11635,クレディ・スイス証券,Credit Suisse Japan,1956,12560,松井証券,MATSUI SECURITIES,1555,165090018,FUT_NK225_2009,2020-08-28
34,12800,モルガンスタンレー,Morgan Stanley MUFG,1846,11635,クレディ・スイス証券,Credit Suisse Japan,1549,165090018,FUT_NK225_2009,2020-08-28
35,12560,松井証券,MATSUI SECURITIES,1585,12336,日産証券,Nissan Securities,1458,165090018,FUT_NK225_2009,2020-08-28
36,12057,楽天証券,Rakuten Securities,1422,12800,モルガンスタンレー,Morgan Stanley MUFG,1390,165090018,FUT_NK225_2009,2020-08-28
37,11714,ＪＰモルガン証券,JPMorgan Japan,1248,12428,ＢＮＰパリバ証券,BNP Paribas (Japan),1252,165090018,FUT_NK225_2009,2020-08-28
38,12336,日産証券,Nissan Securities,1220,11746,ＵＢＳ証券,UBS Securities Japan,1172,165090018,FUT_NK225_2009,2020-08-28
39,12000,大和証券,Daiwa Securities,1134,11714,ＪＰモルガン証券,JPMorgan Japan,1099,165090018,FUT_NK225_2009,2020-08-28
40,12410,バークレイズ証券,Barclays Japan,1005,11520,三菱ＵＦＪモルガン,Mitsubishi UFJ Mor,848,165090018,FUT_NK225_2009,2020-08-28
41,11696,みずほ証券,Mizuho Securities,979,12410,バークレイズ証券,Barclays Japan,823,165090018,FUT_NK225_2009,2020-08-28
42,11560,ゴールドマンサックス,Goldman Sachs Japan,879,11060,ａｕカブコム証券,au Kabucom Securitie,762,165090018,FUT_NK225_2009,2020-08-28
43,11060,ａｕカブコム証券,au Kabucom Securitie,776,12330,マネックス証券,Monex,629,165090018,FUT_NK225_2009,2020-08-28
44,11520,三菱ＵＦＪモルガン,Mitsubishi UFJ Mor,749,11696,みずほ証券,Mizuho Securities,622,165090018,FUT_NK225_2009,2020-08-28
45,11746,ＵＢＳ証券,UBS Securities Japan,665,11560,ゴールドマンサックス,Goldman Sachs Japan,620,165090018,FUT_NK225_2009,2020-08-28
46,12428,ＢＮＰパリバ証券,BNP Paribas (Japan),588,12176,ドイツ証券,Deutsche Securities,487,165090018,FUT_NK225_2009,2020-08-28
49,11788,ソシエテ・ジェネラル,Societe Generale,937,11788,ソシエテ・ジェネラル,Societe Generale,846,165120018,FUT_NK225_2012,2020-08-28
50,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,672,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,636,165120018,FUT_NK225_2012,2020-08-28
