,institutions_sell_code,institutions_sell,institutions_sell_eng,volume_sell,institutions_buy_code,institutions_buy,institutions_buy_eng,volume_buy,JPX_code,instrument,date
2,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,9086,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,9367,165090005,FUT_TOPIX_2009,2020-08-27
3,11788,ソシエテ・ジェネラル,Societe Generale,6518,11788,ソシエテ・ジェネラル,Societe Generale,7194,165090005,FUT_TOPIX_2009,2020-08-27
4,11635,クレディ・スイス証券,Credit Suisse Japan,1368,11560,ゴールドマンサックス,Goldman Sachs Japan,1691,165090005,FUT_TOPIX_2009,2020-08-27
5,12176,ドイツ証券,Deutsche Securities,1154,12410,バークレイズ証券,Barclays Japan,1090,165090005,FUT_TOPIX_2009,2020-08-27
6,12792,メリルリンチ日本証券,Merrill Lynch Japan,1133,11714,ＪＰモルガン証券,JPMorgan Japan,959,165090005,FUT_TOPIX_2009,2020-08-27
7,12410,バークレイズ証券,Barclays Japan,1056,12792,メリルリンチ日本証券,Merrill Lynch Japan,864,165090005,FUT_TOPIX_2009,2020-08-27
8,12800,モルガンスタンレー,Morgan Stanley MUFG,973,11635,クレディ・スイス証券,Credit Suisse Japan,754,165090005,FUT_TOPIX_2009,2020-08-27
9,12400,野村證券,Nomura Securities,628,12400,野村證券,Nomura Securities,621,165090005,FUT_TOPIX_2009,2020-08-27
10,11714,ＪＰモルガン証券,JPMorgan Japan,576,12800,モルガンスタンレー,Morgan Stanley MUFG,539,165090005,FUT_TOPIX_2009,2020-08-27
11,12328,ＳＭＢＣ日興証券,SMBC Nikko Sec,515,12428,ＢＮＰパリバ証券,BNP Paribas (Japan),367,165090005,FUT_TOPIX_2009,2020-08-27
12,11560,ゴールドマンサックス,Goldman Sachs Japan,465,11256,ＳＢＩ証券,SBI SECURITIES,264,165090005,FUT_TOPIX_2009,2020-08-27
13,11256,ＳＢＩ証券,SBI SECURITIES,345,11696,みずほ証券,Mizuho Securities,239,165090005,FUT_TOPIX_2009,2020-08-27
14,11520,三菱ＵＦＪモルガン,Mitsubishi UFJ Mor,335,11520,三菱ＵＦＪモルガン,Mitsubishi UFJ Mor,218,165090005,FUT_TOPIX_2009,2020-08-27
15,12000,大和証券,Daiwa Securities,308,12328,ＳＭＢＣ日興証券,SMBC Nikko Sec,200,165090005,FUT_TOPIX_2009,2020-08-27
16,11696,みずほ証券,Mizuho Securities,212,11272,岡三証券,OKASAN SECURITIES,199,165090005,FUT_TOPIX_2009,2020-08-27
17,11272,岡三証券,OKASAN SECURITIES,174,12000,大和証券,Daiwa Securities,194,165090005,FUT_TOPIX_2009,2020-08-27
18,11746,ＵＢＳ証券,UBS Securities Japan,168,12464,廣田証券,HIROTA SECURITIES,181,165090005,FUT_TOPIX_2009,2020-08-27
19,12464,廣田証券,HIROTA SECURITIES,114,12336,日産証券,Nissan Securities,156,165090005,FUT_TOPIX_2009,2020-08-27
20,12336,日産証券,Nissan Securities,91,11746,ＵＢＳ証券,UBS Securities Japan,113,165090005,FUT_TOPIX_2009,2020-08-27
21,11792,シティグループ証券,Citigroup Japan,53,12176,ドイツ証券,Deutsche Securities,64,165090005,FUT_TOPIX_2009,2020-08-27
24,12336,日産証券,Nissan Securities,1,11714,ＪＰモルガン証券,JPMorgan Japan,1,165120005,FUT_TOPIX_2012,2020-08-27
27,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,9893,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,10140,165090018,FUT_NK225_2009,2020-08-27
28,11788,ソシエテ・ジェネラル,Societe Generale,6833,11788,ソシエテ・ジェネラル,Societe Generale,6627,165090018,FUT_NK225_2009,2020-08-27
29,11635,クレディ・スイス証券,Credit Suisse Japan,1123,11256,ＳＢＩ証券,SBI SECURITIES,794,165090018,FUT_NK225_2009,2020-08-27
30,12176,ドイツ証券,Deutsche Securities,866,12792,メリルリンチ日本証券,Merrill Lynch Japan,773,165090018,FUT_NK225_2009,2020-08-27
31,11256,ＳＢＩ証券,SBI SECURITIES,750,11635,クレディ・スイス証券,Credit Suisse Japan,746,165090018,FUT_NK225_2009,2020-08-27
32,12792,メリルリンチ日本証券,Merrill Lynch Japan,689,11560,ゴールドマンサックス,Goldman Sachs Japan,600,165090018,FUT_NK225_2009,2020-08-27
33,12560,松井証券,MATSUI SECURITIES,579,12560,松井証券,MATSUI SECURITIES,600,165090018,FUT_NK225_2009,2020-08-27
34,12057,楽天証券,Rakuten Securities,451,11792,シティグループ証券,Citigroup Japan,540,165090018,FUT_NK225_2009,2020-08-27
35,12800,モルガンスタンレー,Morgan Stanley MUFG,387,12410,バークレイズ証券,Barclays Japan,495,165090018,FUT_NK225_2009,2020-08-27
36,12336,日産証券,Nissan Securities,378,12057,楽天証券,Rakuten Securities,480,165090018,FUT_NK225_2009,2020-08-27
37,12400,野村證券,Nomura Securities,349,12400,野村證券,Nomura Securities,420,165090018,FUT_NK225_2009,2020-08-27
38,12410,バークレイズ証券,Barclays Japan,309,12336,日産証券,Nissan Securities,410,165090018,FUT_NK225_2009,2020-08-27
39,11714,ＪＰモルガン証券,JPMorgan Japan,283,12800,モルガンスタンレー,Morgan Stanley MUFG,319,165090018,FUT_NK225_2009,2020-08-27
40,11560,ゴールドマンサックス,Goldman Sachs Japan,247,12330,マネックス証券,Monex,285,165090018,FUT_NK225_2009,2020-08-27
41,11696,みずほ証券,Mizuho Securities,213,11520,三菱ＵＦＪモルガン,Mitsubishi UFJ Mor,280,165090018,FUT_NK225_2009,2020-08-27
42,11520,三菱ＵＦＪモルガン,Mitsubishi UFJ Mor,209,11060,ａｕカブコム証券,au Kabucom Securitie,231,165090018,FUT_NK225_2009,2020-08-27
43,12428,ＢＮＰパリバ証券,BNP Paribas (Japan),204,12428,ＢＮＰパリバ証券,BNP Paribas (Japan),208,165090018,FUT_NK225_2009,2020-08-27
44,11792,シティグループ証券,Citigroup Japan,193,11696,みずほ証券,Mizuho Securities,202,165090018,FUT_NK225_2009,2020-08-27
45,12795,インタラクティブ証券,Interactive Brokers,139,11714,ＪＰモルガン証券,JPMorgan Japan,201,165090018,FUT_NK225_2009,2020-08-27
46,12330,マネックス証券,Monex,115,12795,インタラクティブ証券,Interactive Brokers,115,165090018,FUT_NK225_2009,2020-08-27
49,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,292,11788,ソシエテ・ジェネラル,Societe Generale,172,165120018,FUT_NK225_2012,2020-08-27
50,11788,ソシエテ・ジェネラル,Societe Generale,134,11727,ＧＭＯクリック証券,GMO CLICK Securities,124,165120018,FUT_NK225_2012,2020-08-27
51,11727,ＧＭＯクリック証券,GMO CLICK Securities,65,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,107,165120018,FUT_NK225_2012,2020-08-27
52,12560,松井証券,MATSUI SECURITIES,29,11560,ゴールドマンサックス,Goldman Sachs Japan,55,165120018,FUT_NK225_2012,2020-08-27
53,12057,楽天証券,Rakuten Securities,23,12057,楽天証券,Rakuten Securities,38,165120018,FUT_NK225_2012,2020-08-27
54,12428,ＢＮＰパリバ証券,BNP Paribas (Japan),20,12560,松井証券,MATSUI SECURITIES,29,165120018,FUT_NK225_2012,2020-08-27
55,12336,日産証券,Nissan Securities,18,12336,日産証券,Nissan Securities,18,165120018,FUT_NK225_2012,2020-08-27
56,11272,岡三証券,OKASAN SECURITIES,6,11256,ＳＢＩ証券,SBI SECURITIES,16,165120018,FUT_NK225_2012,2020-08-27
57,11635,クレディ・スイス証券,Credit Suisse Japan,6,12330,マネックス証券,Monex,13,165120018,FUT_NK225_2012,2020-08-27
58,12330,マネックス証券,Monex,5,11060,ａｕカブコム証券,au Kabucom Securitie,13,165120018,FUT_NK225_2012,2020-08-27
59,11060,ａｕカブコム証券,au Kabucom Securitie,4,12792,メリルリンチ日本証券,Merrill Lynch Japan,9,165120018,FUT_NK225_2012,2020-08-27
60,12328,ＳＭＢＣ日興証券,SMBC Nikko Sec,3,12428,ＢＮＰパリバ証券,BNP Paribas (Japan),5,165120018,FUT_NK225_2012,2020-08-27
61,11256,ＳＢＩ証券,SBI SECURITIES,1,11272,岡三証券,OKASAN SECURITIES,4,165120018,FUT_NK225_2012,2020-08-27
62,11560,ゴールドマンサックス,Goldman Sachs Japan,1,12328,ＳＭＢＣ日興証券,SMBC Nikko Sec,3,165120018,FUT_NK225_2012,2020-08-27
63,-,-,-,-,11714,ＪＰモルガン証券,JPMorgan Japan,1,165120018,FUT_NK225_2012,2020-08-27
66,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,145516,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,142045,165090019,FUT_NK225M_2009,2020-08-27
67,11788,ソシエテ・ジェネラル,Societe Generale,83311,11788,ソシエテ・ジェネラル,Societe Generale,79084,165090019,FUT_NK225M_2009,2020-08-27
68,11256,ＳＢＩ証券,SBI SECURITIES,19946,11256,ＳＢＩ証券,SBI SECURITIES,24770,165090019,FUT_NK225M_2009,2020-08-27
69,12560,松井証券,MATSUI SECURITIES,14806,12560,松井証券,MATSUI SECURITIES,16246,165090019,FUT_NK225M_2009,2020-08-27
70,12057,楽天証券,Rakuten Securities,11893,12057,楽天証券,Rakuten Securities,13705,165090019,FUT_NK225M_2009,2020-08-27
71,12792,メリルリンチ日本証券,Merrill Lynch Japan,10062,12792,メリルリンチ日本証券,Merrill Lynch Japan,9452,165090019,FUT_NK225M_2009,2020-08-27
72,11635,クレディ・スイス証券,Credit Suisse Japan,8101,11060,ａｕカブコム証券,au Kabucom Securitie,6580,165090019,FUT_NK225M_2009,2020-08-27
73,11060,ａｕカブコム証券,au Kabucom Securitie,5728,11272,岡三証券,OKASAN SECURITIES,3944,165090019,FUT_NK225M_2009,2020-08-27
74,12336,日産証券,Nissan Securities,3886,12336,日産証券,Nissan Securities,3421,165090019,FUT_NK225M_2009,2020-08-27
75,11272,岡三証券,OKASAN SECURITIES,3854,11714,ＪＰモルガン証券,JPMorgan Japan,2971,165090019,FUT_NK225M_2009,2020-08-27
76,12330,マネックス証券,Monex,2642,12330,マネックス証券,Monex,2914,165090019,FUT_NK225M_2009,2020-08-27
77,12428,ＢＮＰパリバ証券,BNP Paribas (Japan),2210,12400,野村證券,Nomura Securities,2635,165090019,FUT_NK225M_2009,2020-08-27
78,12800,モルガンスタンレー,Morgan Stanley MUFG,2188,12428,ＢＮＰパリバ証券,BNP Paribas (Japan),2595,165090019,FUT_NK225M_2009,2020-08-27
79,12400,野村證券,Nomura Securities,2170,12800,モルガンスタンレー,Morgan Stanley MUFG,2517,165090019,FUT_NK225M_2009,2020-08-27
80,12896,豊証券,Yutaka Securities,2136,12896,豊証券,Yutaka Securities,2128,165090019,FUT_NK225M_2009,2020-08-27
81,12464,廣田証券,HIROTA SECURITIES,1762,11727,ＧＭＯクリック証券,GMO CLICK Securities,1967,165090019,FUT_NK225M_2009,2020-08-27
82,11727,ＧＭＯクリック証券,GMO CLICK Securities,1525,11784,ライブスター証券,livestar Securities,1742,165090019,FUT_NK225M_2009,2020-08-27
83,11784,ライブスター証券,livestar Securities,1524,11520,三菱ＵＦＪモルガン,Mitsubishi UFJ Mor,1722,165090019,FUT_NK225M_2009,2020-08-27
84,12795,インタラクティブ証券,Interactive Brokers,1403,11635,クレディ・スイス証券,Credit Suisse Japan,1677,165090019,FUT_NK225M_2009,2020-08-27
85,11714,ＪＰモルガン証券,JPMorgan Japan,1203,12795,インタラクティブ証券,Interactive Brokers,1345,165090019,FUT_NK225M_2009,2020-08-27
88,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,4723,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,4501,165100019,FUT_NK225M_2010,2020-08-27
89,11788,ソシエテ・ジェネラル,Societe Generale,1966,11788,ソシエテ・ジェネラル,Societe Generale,2086,165100019,FUT_NK225M_2010,2020-08-27
90,12057,楽天証券,Rakuten Securities,150,12057,楽天証券,Rakuten Securities,177,165100019,FUT_NK225M_2010,2020-08-27
91,11256,ＳＢＩ証券,SBI SECURITIES,59,11256,ＳＢＩ証券,SBI SECURITIES,93,165100019,FUT_NK225M_2010,2020-08-27
92,11060,ａｕカブコム証券,au Kabucom Securitie,37,12560,松井証券,MATSUI SECURITIES,44,165100019,FUT_NK225M_2010,2020-08-27
93,12560,松井証券,MATSUI SECURITIES,23,11060,ａｕカブコム証券,au Kabucom Securitie,31,165100019,FUT_NK225M_2010,2020-08-27
94,12792,メリルリンチ日本証券,Merrill Lynch Japan,23,12000,大和証券,Daiwa Securities,19,165100019,FUT_NK225M_2010,2020-08-27
95,12330,マネックス証券,Monex,12,12792,メリルリンチ日本証券,Merrill Lynch Japan,19,165100019,FUT_NK225M_2010,2020-08-27
96,12000,大和証券,Daiwa Securities,11,11714,ＪＰモルガン証券,JPMorgan Japan,15,165100019,FUT_NK225M_2010,2020-08-27
97,11272,岡三証券,OKASAN SECURITIES,6,12330,マネックス証券,Monex,15,165100019,FUT_NK225M_2010,2020-08-27
