,institutions_sell_code,institutions_sell,institutions_sell_eng,volume_sell,institutions_buy_code,institutions_buy,institutions_buy_eng,volume_buy,JPX_code,instrument,date
2,12400,野村證券,Nomura Securities,435,12400,野村證券,Nomura Securities,435,165090005,FUT_TOPIX_2009,2020-08-24
3,12328,ＳＭＢＣ日興証券,SMBC Nikko Sec,35,12328,ＳＭＢＣ日興証券,SMBC Nikko Sec,35,165090005,FUT_TOPIX_2009,2020-08-24
4,11256,ＳＢＩ証券,SBI SECURITIES,22,11256,ＳＢＩ証券,SBI SECURITIES,22,165090005,FUT_TOPIX_2009,2020-08-24
5,11520,三菱ＵＦＪモルガン,Mitsubishi UFJ Mor,2,11520,三菱ＵＦＪモルガン,Mitsubishi UFJ Mor,2,165090005,FUT_TOPIX_2009,2020-08-24
8,11256,ＳＢＩ証券,SBI SECURITIES,940,11256,ＳＢＩ証券,SBI SECURITIES,940,165090018,FUT_NK225_2009,2020-08-24
9,11696,みずほ証券,Mizuho Securities,460,11696,みずほ証券,Mizuho Securities,460,165090018,FUT_NK225_2009,2020-08-24
10,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,288,12800,モルガンスタンレー,Morgan Stanley MUFG,225,165090018,FUT_NK225_2009,2020-08-24
11,11746,ＵＢＳ証券,UBS Securities Japan,90,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,204,165090018,FUT_NK225_2009,2020-08-24
12,11714,ＪＰモルガン証券,JPMorgan Japan,90,11635,クレディ・スイス証券,Credit Suisse Japan,64,165090018,FUT_NK225_2009,2020-08-24
13,11560,ゴールドマンサックス,Goldman Sachs Japan,45,12428,ＢＮＰパリバ証券,BNP Paribas (Japan),27,165090018,FUT_NK225_2009,2020-08-24
14,12328,ＳＭＢＣ日興証券,SMBC Nikko Sec,24,12400,野村證券,Nomura Securities,15,165090018,FUT_NK225_2009,2020-08-24
15,-,-,-,-,11746,ＵＢＳ証券,UBS Securities Japan,2,165090018,FUT_NK225_2009,2020-08-24
18,11256,ＳＢＩ証券,SBI SECURITIES,1,11256,ＳＢＩ証券,SBI SECURITIES,1,165120018,FUT_NK225_2012,2020-08-24
21,11256,ＳＢＩ証券,SBI SECURITIES,38062,11256,ＳＢＩ証券,SBI SECURITIES,38062,165090019,FUT_NK225M_2009,2020-08-24
22,12800,モルガンスタンレー,Morgan Stanley MUFG,10,12800,モルガンスタンレー,Morgan Stanley MUFG,10,165090019,FUT_NK225M_2009,2020-08-24
25,11256,ＳＢＩ証券,SBI SECURITIES,88,11256,ＳＢＩ証券,SBI SECURITIES,88,165100019,FUT_NK225M_2010,2020-08-24
28,11256,ＳＢＩ証券,SBI SECURITIES,94,11256,ＳＢＩ証券,SBI SECURITIES,94,165110019,FUT_NK225M_2011,2020-08-24
31,11256,ＳＢＩ証券,SBI SECURITIES,31,11256,ＳＢＩ証券,SBI SECURITIES,31,135092018,PUT_NK225_200911_22000,2020-08-24
34,11256,ＳＢＩ証券,SBI SECURITIES,5,11256,ＳＢＩ証券,SBI SECURITIES,5,135092118,PUT_NK225_200911_22125,2020-08-24
37,11256,ＳＢＩ証券,SBI SECURITIES,5,11256,ＳＢＩ証券,SBI SECURITIES,5,135092218,PUT_NK225_200911_22250,2020-08-24
40,12428,ＢＮＰパリバ証券,BNP Paribas (Japan),300,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,300,135092518,PUT_NK225_200911_22500,2020-08-24
41,11256,ＳＢＩ証券,SBI SECURITIES,27,11256,ＳＢＩ証券,SBI SECURITIES,27,135092518,PUT_NK225_200911_22500,2020-08-24
44,11256,ＳＢＩ証券,SBI SECURITIES,4,11256,ＳＢＩ証券,SBI SECURITIES,4,135092618,PUT_NK225_200911_22625,2020-08-24
47,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,400,12800,モルガンスタンレー,Morgan Stanley MUFG,500,135092718,PUT_NK225_200911_22750,2020-08-24
48,11746,ＵＢＳ証券,UBS Securities Japan,100,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,100,135092718,PUT_NK225_200911_22750,2020-08-24
49,11560,ゴールドマンサックス,Goldman Sachs Japan,100,11256,ＳＢＩ証券,SBI SECURITIES,15,135092718,PUT_NK225_200911_22750,2020-08-24
50,11256,ＳＢＩ証券,SBI SECURITIES,15,-,-,-,-,135092718,PUT_NK225_200911_22750,2020-08-24
53,11256,ＳＢＩ証券,SBI SECURITIES,2,11256,ＳＢＩ証券,SBI SECURITIES,2,135092818,PUT_NK225_200911_22875,2020-08-24
56,11256,ＳＢＩ証券,SBI SECURITIES,7,11256,ＳＢＩ証券,SBI SECURITIES,7,135093018,PUT_NK225_200911_23000,2020-08-24
59,11256,ＳＢＩ証券,SBI SECURITIES,1,11256,ＳＢＩ証券,SBI SECURITIES,1,135093218,PUT_NK225_200911_23250,2020-08-24
62,11256,ＳＢＩ証券,SBI SECURITIES,91,11256,ＳＢＩ証券,SBI SECURITIES,91,145094018,CAL_NK225_200911_24000,2020-08-24
65,11256,ＳＢＩ証券,SBI SECURITIES,16,11256,ＳＢＩ証券,SBI SECURITIES,16,145093818,CAL_NK225_200911_23875,2020-08-24
68,11256,ＳＢＩ証券,SBI SECURITIES,38,11256,ＳＢＩ証券,SBI SECURITIES,38,145093718,CAL_NK225_200911_23750,2020-08-24
71,11256,ＳＢＩ証券,SBI SECURITIES,9,11256,ＳＢＩ証券,SBI SECURITIES,9,145093618,CAL_NK225_200911_23625,2020-08-24
74,11256,ＳＢＩ証券,SBI SECURITIES,77,11256,ＳＢＩ証券,SBI SECURITIES,77,145093518,CAL_NK225_200911_23500,2020-08-24
77,11256,ＳＢＩ証券,SBI SECURITIES,9,11256,ＳＢＩ証券,SBI SECURITIES,9,145093318,CAL_NK225_200911_23375,2020-08-24
80,11256,ＳＢＩ証券,SBI SECURITIES,26,11256,ＳＢＩ証券,SBI SECURITIES,26,145093218,CAL_NK225_200911_23250,2020-08-24
83,11256,ＳＢＩ証券,SBI SECURITIES,7,11256,ＳＢＩ証券,SBI SECURITIES,7,145093118,CAL_NK225_200911_23125,2020-08-24
86,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,300,11714,ＪＰモルガン証券,JPMorgan Japan,200,145093018,CAL_NK225_200911_23000,2020-08-24
87,11256,ＳＢＩ証券,SBI SECURITIES,28,11746,ＵＢＳ証券,UBS Securities Japan,100,145093018,CAL_NK225_200911_23000,2020-08-24
88,-,-,-,-,11256,ＳＢＩ証券,SBI SECURITIES,28,145093018,CAL_NK225_200911_23000,2020-08-24
91,11256,ＳＢＩ証券,SBI SECURITIES,4,11256,ＳＢＩ証券,SBI SECURITIES,4,145092818,CAL_NK225_200911_22875,2020-08-24
94,11256,ＳＢＩ証券,SBI SECURITIES,2,11256,ＳＢＩ証券,SBI SECURITIES,2,145092718,CAL_NK225_200911_22750,2020-08-24
