,institutions_sell_code,institutions_sell,institutions_sell_eng,volume_sell,institutions_buy_code,institutions_buy,institutions_buy_eng,volume_buy,JPX_code,instrument,date
2,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,9446,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,9386,165090005,FUT_TOPIX_2009,2020-08-26
3,11788,ソシエテ・ジェネラル,Societe Generale,8109,11788,ソシエテ・ジェネラル,Societe Generale,8560,165090005,FUT_TOPIX_2009,2020-08-26
4,12792,メリルリンチ日本証券,Merrill Lynch Japan,1202,12410,バークレイズ証券,Barclays Japan,1952,165090005,FUT_TOPIX_2009,2020-08-26
5,12410,バークレイズ証券,Barclays Japan,1134,12792,メリルリンチ日本証券,Merrill Lynch Japan,1185,165090005,FUT_TOPIX_2009,2020-08-26
6,12400,野村證券,Nomura Securities,1130,11714,ＪＰモルガン証券,JPMorgan Japan,1178,165090005,FUT_TOPIX_2009,2020-08-26
7,11635,クレディ・スイス証券,Credit Suisse Japan,1054,12800,モルガンスタンレー,Morgan Stanley MUFG,765,165090005,FUT_TOPIX_2009,2020-08-26
8,12800,モルガンスタンレー,Morgan Stanley MUFG,805,11635,クレディ・スイス証券,Credit Suisse Japan,712,165090005,FUT_TOPIX_2009,2020-08-26
9,12176,ドイツ証券,Deutsche Securities,782,11560,ゴールドマンサックス,Goldman Sachs Japan,631,165090005,FUT_TOPIX_2009,2020-08-26
10,11560,ゴールドマンサックス,Goldman Sachs Japan,760,12400,野村證券,Nomura Securities,624,165090005,FUT_TOPIX_2009,2020-08-26
11,11714,ＪＰモルガン証券,JPMorgan Japan,688,11256,ＳＢＩ証券,SBI SECURITIES,373,165090005,FUT_TOPIX_2009,2020-08-26
12,11256,ＳＢＩ証券,SBI SECURITIES,542,12428,ＢＮＰパリバ証券,BNP Paribas (Japan),330,165090005,FUT_TOPIX_2009,2020-08-26
13,11746,ＵＢＳ証券,UBS Securities Japan,244,11696,みずほ証券,Mizuho Securities,286,165090005,FUT_TOPIX_2009,2020-08-26
14,12336,日産証券,Nissan Securities,229,12336,日産証券,Nissan Securities,181,165090005,FUT_TOPIX_2009,2020-08-26
15,12328,ＳＭＢＣ日興証券,SMBC Nikko Sec,218,11746,ＵＢＳ証券,UBS Securities Japan,175,165090005,FUT_TOPIX_2009,2020-08-26
16,12464,廣田証券,HIROTA SECURITIES,123,11520,三菱ＵＦＪモルガン,Mitsubishi UFJ Mor,128,165090005,FUT_TOPIX_2009,2020-08-26
17,12428,ＢＮＰパリバ証券,BNP Paribas (Japan),108,11792,シティグループ証券,Citigroup Japan,127,165090005,FUT_TOPIX_2009,2020-08-26
18,11272,岡三証券,OKASAN SECURITIES,106,12464,廣田証券,HIROTA SECURITIES,99,165090005,FUT_TOPIX_2009,2020-08-26
19,12000,大和証券,Daiwa Securities,89,11272,岡三証券,OKASAN SECURITIES,89,165090005,FUT_TOPIX_2009,2020-08-26
20,12896,豊証券,Yutaka Securities,88,12328,ＳＭＢＣ日興証券,SMBC Nikko Sec,79,165090005,FUT_TOPIX_2009,2020-08-26
21,11696,みずほ証券,Mizuho Securities,72,12896,豊証券,Yutaka Securities,78,165090005,FUT_TOPIX_2009,2020-08-26
24,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,6,12336,日産証券,Nissan Securities,6,165120005,FUT_TOPIX_2012,2020-08-26
27,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,10037,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,10341,165090018,FUT_NK225_2009,2020-08-26
28,11788,ソシエテ・ジェネラル,Societe Generale,7160,11788,ソシエテ・ジェネラル,Societe Generale,7034,165090018,FUT_NK225_2009,2020-08-26
29,12400,野村證券,Nomura Securities,989,11635,クレディ・スイス証券,Credit Suisse Japan,1380,165090018,FUT_NK225_2009,2020-08-26
30,11714,ＪＰモルガン証券,JPMorgan Japan,691,11256,ＳＢＩ証券,SBI SECURITIES,677,165090018,FUT_NK225_2009,2020-08-26
31,11256,ＳＢＩ証券,SBI SECURITIES,672,12792,メリルリンチ日本証券,Merrill Lynch Japan,608,165090018,FUT_NK225_2009,2020-08-26
32,12792,メリルリンチ日本証券,Merrill Lynch Japan,575,11714,ＪＰモルガン証券,JPMorgan Japan,590,165090018,FUT_NK225_2009,2020-08-26
33,12560,松井証券,MATSUI SECURITIES,511,12560,松井証券,MATSUI SECURITIES,548,165090018,FUT_NK225_2009,2020-08-26
34,12336,日産証券,Nissan Securities,477,12336,日産証券,Nissan Securities,504,165090018,FUT_NK225_2009,2020-08-26
35,11635,クレディ・スイス証券,Credit Suisse Japan,447,12400,野村證券,Nomura Securities,487,165090018,FUT_NK225_2009,2020-08-26
36,12176,ドイツ証券,Deutsche Securities,441,12057,楽天証券,Rakuten Securities,422,165090018,FUT_NK225_2009,2020-08-26
37,12410,バークレイズ証券,Barclays Japan,411,12330,マネックス証券,Monex,331,165090018,FUT_NK225_2009,2020-08-26
38,12057,楽天証券,Rakuten Securities,348,11060,ａｕカブコム証券,au Kabucom Securitie,260,165090018,FUT_NK225_2009,2020-08-26
39,11060,ａｕカブコム証券,au Kabucom Securitie,344,11520,三菱ＵＦＪモルガン,Mitsubishi UFJ Mor,257,165090018,FUT_NK225_2009,2020-08-26
40,12800,モルガンスタンレー,Morgan Stanley MUFG,298,12410,バークレイズ証券,Barclays Japan,227,165090018,FUT_NK225_2009,2020-08-26
41,11746,ＵＢＳ証券,UBS Securities Japan,201,11616,三京証券,Sankyo Securities,155,165090018,FUT_NK225_2009,2020-08-26
42,12330,マネックス証券,Monex,192,11696,みずほ証券,Mizuho Securities,136,165090018,FUT_NK225_2009,2020-08-26
43,11520,三菱ＵＦＪモルガン,Mitsubishi UFJ Mor,189,11727,ＧＭＯクリック証券,GMO CLICK Securities,132,165090018,FUT_NK225_2009,2020-08-26
44,11560,ゴールドマンサックス,Goldman Sachs Japan,184,11272,岡三証券,OKASAN SECURITIES,111,165090018,FUT_NK225_2009,2020-08-26
45,11696,みずほ証券,Mizuho Securities,128,11560,ゴールドマンサックス,Goldman Sachs Japan,97,165090018,FUT_NK225_2009,2020-08-26
46,11727,ＧＭＯクリック証券,GMO CLICK Securities,112,12072,東海東京証券,Tokai Tokyo Sec,96,165090018,FUT_NK225_2009,2020-08-26
49,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,263,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,143,165120018,FUT_NK225_2012,2020-08-26
50,11727,ＧＭＯクリック証券,GMO CLICK Securities,68,11788,ソシエテ・ジェネラル,Societe Generale,140,165120018,FUT_NK225_2012,2020-08-26
51,11788,ソシエテ・ジェネラル,Societe Generale,66,11727,ＧＭＯクリック証券,GMO CLICK Securities,69,165120018,FUT_NK225_2012,2020-08-26
52,12336,日産証券,Nissan Securities,50,12336,日産証券,Nissan Securities,69,165120018,FUT_NK225_2012,2020-08-26
53,12560,松井証券,MATSUI SECURITIES,37,12560,松井証券,MATSUI SECURITIES,56,165120018,FUT_NK225_2012,2020-08-26
54,12428,ＢＮＰパリバ証券,BNP Paribas (Japan),20,12057,楽天証券,Rakuten Securities,30,165120018,FUT_NK225_2012,2020-08-26
55,11560,ゴールドマンサックス,Goldman Sachs Japan,20,12330,マネックス証券,Monex,19,165120018,FUT_NK225_2012,2020-08-26
56,12057,楽天証券,Rakuten Securities,16,11060,ａｕカブコム証券,au Kabucom Securitie,17,165120018,FUT_NK225_2012,2020-08-26
57,11060,ａｕカブコム証券,au Kabucom Securitie,15,12792,メリルリンチ日本証券,Merrill Lynch Japan,15,165120018,FUT_NK225_2012,2020-08-26
58,12330,マネックス証券,Monex,12,11256,ＳＢＩ証券,SBI SECURITIES,14,165120018,FUT_NK225_2012,2020-08-26
59,11512,光世証券,The Kosei Securities,3,12176,ドイツ証券,Deutsche Securities,2,165120018,FUT_NK225_2012,2020-08-26
60,11256,ＳＢＩ証券,SBI SECURITIES,2,12000,大和証券,Daiwa Securities,1,165120018,FUT_NK225_2012,2020-08-26
61,12176,ドイツ証券,Deutsche Securities,1,11272,岡三証券,OKASAN SECURITIES,1,165120018,FUT_NK225_2012,2020-08-26
62,12328,ＳＭＢＣ日興証券,SMBC Nikko Sec,1,-,-,-,-,165120018,FUT_NK225_2012,2020-08-26
63,11272,岡三証券,OKASAN SECURITIES,1,-,-,-,-,165120018,FUT_NK225_2012,2020-08-26
64,12792,メリルリンチ日本証券,Merrill Lynch Japan,1,-,-,-,-,165120018,FUT_NK225_2012,2020-08-26
67,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,149980,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,149635,165090019,FUT_NK225M_2009,2020-08-26
68,11788,ソシエテ・ジェネラル,Societe Generale,89850,11788,ソシエテ・ジェネラル,Societe Generale,81484,165090019,FUT_NK225M_2009,2020-08-26
69,11256,ＳＢＩ証券,SBI SECURITIES,20692,11256,ＳＢＩ証券,SBI SECURITIES,27286,165090019,FUT_NK225M_2009,2020-08-26
70,12560,松井証券,MATSUI SECURITIES,16039,12560,松井証券,MATSUI SECURITIES,17046,165090019,FUT_NK225M_2009,2020-08-26
71,12057,楽天証券,Rakuten Securities,11781,12057,楽天証券,Rakuten Securities,13096,165090019,FUT_NK225M_2009,2020-08-26
72,12792,メリルリンチ日本証券,Merrill Lynch Japan,8549,12792,メリルリンチ日本証券,Merrill Lynch Japan,11439,165090019,FUT_NK225M_2009,2020-08-26
73,11060,ａｕカブコム証券,au Kabucom Securitie,6224,11060,ａｕカブコム証券,au Kabucom Securitie,6680,165090019,FUT_NK225M_2009,2020-08-26
74,11635,クレディ・スイス証券,Credit Suisse Japan,5590,11714,ＪＰモルガン証券,JPMorgan Japan,4902,165090019,FUT_NK225M_2009,2020-08-26
75,12336,日産証券,Nissan Securities,5573,11272,岡三証券,OKASAN SECURITIES,4440,165090019,FUT_NK225M_2009,2020-08-26
76,11272,岡三証券,OKASAN SECURITIES,4864,11635,クレディ・スイス証券,Credit Suisse Japan,3805,165090019,FUT_NK225M_2009,2020-08-26
77,12400,野村證券,Nomura Securities,4807,12336,日産証券,Nissan Securities,3544,165090019,FUT_NK225M_2009,2020-08-26
78,11714,ＪＰモルガン証券,JPMorgan Japan,2870,12400,野村證券,Nomura Securities,3032,165090019,FUT_NK225M_2009,2020-08-26
79,12428,ＢＮＰパリバ証券,BNP Paribas (Japan),2685,12330,マネックス証券,Monex,2779,165090019,FUT_NK225M_2009,2020-08-26
80,12330,マネックス証券,Monex,2416,12428,ＢＮＰパリバ証券,BNP Paribas (Japan),2409,165090019,FUT_NK225M_2009,2020-08-26
81,12800,モルガンスタンレー,Morgan Stanley MUFG,2153,11727,ＧＭＯクリック証券,GMO CLICK Securities,1909,165090019,FUT_NK225M_2009,2020-08-26
82,11784,ライブスター証券,livestar Securities,1737,11784,ライブスター証券,livestar Securities,1803,165090019,FUT_NK225M_2009,2020-08-26
83,11727,ＧＭＯクリック証券,GMO CLICK Securities,1719,12800,モルガンスタンレー,Morgan Stanley MUFG,1677,165090019,FUT_NK225M_2009,2020-08-26
84,12464,廣田証券,HIROTA SECURITIES,1350,12410,バークレイズ証券,Barclays Japan,1483,165090019,FUT_NK225M_2009,2020-08-26
85,12410,バークレイズ証券,Barclays Japan,1303,12464,廣田証券,HIROTA SECURITIES,1335,165090019,FUT_NK225M_2009,2020-08-26
86,11696,みずほ証券,Mizuho Securities,900,12000,大和証券,Daiwa Securities,705,165090019,FUT_NK225M_2009,2020-08-26
89,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,4329,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,3772,165100019,FUT_NK225M_2010,2020-08-26
90,11788,ソシエテ・ジェネラル,Societe Generale,2519,11788,ソシエテ・ジェネラル,Societe Generale,2953,165100019,FUT_NK225M_2010,2020-08-26
91,12057,楽天証券,Rakuten Securities,175,12057,楽天証券,Rakuten Securities,202,165100019,FUT_NK225M_2010,2020-08-26
92,11060,ａｕカブコム証券,au Kabucom Securitie,46,11256,ＳＢＩ証券,SBI SECURITIES,79,165100019,FUT_NK225M_2010,2020-08-26
93,11256,ＳＢＩ証券,SBI SECURITIES,37,11060,ａｕカブコム証券,au Kabucom Securitie,47,165100019,FUT_NK225M_2010,2020-08-26
94,12560,松井証券,MATSUI SECURITIES,30,11714,ＪＰモルガン証券,JPMorgan Japan,30,165100019,FUT_NK225M_2010,2020-08-26
95,12792,メリルリンチ日本証券,Merrill Lynch Japan,14,12560,松井証券,MATSUI SECURITIES,26,165100019,FUT_NK225M_2010,2020-08-26
96,11727,ＧＭＯクリック証券,GMO CLICK Securities,11,12330,マネックス証券,Monex,15,165100019,FUT_NK225M_2010,2020-08-26
97,12330,マネックス証券,Monex,11,12792,メリルリンチ日本証券,Merrill Lynch Japan,14,165100019,FUT_NK225M_2010,2020-08-26
98,12336,日産証券,Nissan Securities,4,11727,ＧＭＯクリック証券,GMO CLICK Securities,11,165100019,FUT_NK225M_2010,2020-08-26
99,12000,大和証券,Daiwa Securities,3,11520,三菱ＵＦＪモルガン,Mitsubishi UFJ Mor,10,165100019,FUT_NK225M_2010,2020-08-26
100,11784,ライブスター証券,livestar Securities,2,12336,日産証券,Nissan Securities,8,165100019,FUT_NK225M_2010,2020-08-26
101,12795,インタラクティブ証券,Interactive Brokers,1,12000,大和証券,Daiwa Securities,5,165100019,FUT_NK225M_2010,2020-08-26
102,-,-,-,-,11784,ライブスター証券,livestar Securities,5,165100019,FUT_NK225M_2010,2020-08-26
103,-,-,-,-,11272,岡三証券,OKASAN SECURITIES,4,165100019,FUT_NK225M_2010,2020-08-26
104,-,-,-,-,12795,インタラクティブ証券,Interactive Brokers,1,165100019,FUT_NK225M_2010,2020-08-26
107,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,49,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,46,165110019,FUT_NK225M_2011,2020-08-26
108,11060,ａｕカブコム証券,au Kabucom Securitie,15,11060,ａｕカブコム証券,au Kabucom Securitie,17,165110019,FUT_NK225M_2011,2020-08-26
109,12057,楽天証券,Rakuten Securities,7,11788,ソシエテ・ジェネラル,Societe Generale,6,165110019,FUT_NK225M_2011,2020-08-26
110,11256,ＳＢＩ証券,SBI SECURITIES,4,11256,ＳＢＩ証券,SBI SECURITIES,5,165110019,FUT_NK225M_2011,2020-08-26
111,11788,ソシエテ・ジェネラル,Societe Generale,3,12330,マネックス証券,Monex,3,165110019,FUT_NK225M_2011,2020-08-26
112,11784,ライブスター証券,livestar Securities,3,12057,楽天証券,Rakuten Securities,2,165110019,FUT_NK225M_2011,2020-08-26
