,institutions_sell_code,institutions_sell,institutions_sell_eng,volume_sell,institutions_buy_code,institutions_buy,institutions_buy_eng,volume_buy,JPX_code,instrument,date
2,11560,ゴールドマンサックス,Goldman Sachs Japan,90.0,11560,ゴールドマンサックス,Goldman Sachs Japan,90,165120005,FUT_TOPIX_2012,2020-09-23
3,11256,ＳＢＩ証券,SBI SECURITIES,36.0,11256,ＳＢＩ証券,SBI SECURITIES,36,165120005,FUT_TOPIX_2012,2020-09-23
4,11696,みずほ証券,Mizuho Securities,18.0,11696,みずほ証券,Mizuho Securities,18,165120005,FUT_TOPIX_2012,2020-09-23
5,12400,野村證券,Nomura Securities,6.0,12400,野村證券,Nomura Securities,6,165120005,FUT_TOPIX_2012,2020-09-23
6,11520,三菱ＵＦＪモルガン,Mitsubishi UFJ Mor,4.0,11520,三菱ＵＦＪモルガン,Mitsubishi UFJ Mor,4,165120005,FUT_TOPIX_2012,2020-09-23
9,11256,ＳＢＩ証券,SBI SECURITIES,620.0,11256,ＳＢＩ証券,SBI SECURITIES,620,165120018,FUT_NK225_2012,2020-09-23
10,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,175.0,11635,クレディ・スイス証券,Credit Suisse Japan,90,165120018,FUT_NK225_2012,2020-09-23
11,12410,バークレイズ証券,Barclays Japan,56.0,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,78,165120018,FUT_NK225_2012,2020-09-23
12,12428,ＢＮＰパリバ証券,BNP Paribas (Japan),38.0,11696,みずほ証券,Mizuho Securities,75,165120018,FUT_NK225_2012,2020-09-23
13,11746,ＵＢＳ証券,UBS Securities Japan,9.0,12410,バークレイズ証券,Barclays Japan,49,165120018,FUT_NK225_2012,2020-09-23
14,12792,メリルリンチ日本証券,Merrill Lynch Japan,9.0,12428,ＢＮＰパリバ証券,BNP Paribas (Japan),9,165120018,FUT_NK225_2012,2020-09-23
15,11635,クレディ・スイス証券,Credit Suisse Japan,8.0,-,-,-,-,165120018,FUT_NK225_2012,2020-09-23
16,12400,野村證券,Nomura Securities,5.0,-,-,-,-,165120018,FUT_NK225_2012,2020-09-23
17,11696,みずほ証券,Mizuho Securities,1.0,-,-,-,-,165120018,FUT_NK225_2012,2020-09-23
20,11256,ＳＢＩ証券,SBI SECURITIES,1549.0,11256,ＳＢＩ証券,SBI SECURITIES,1549,165100019,FUT_NK225M_2010,2020-09-23
23,11256,ＳＢＩ証券,SBI SECURITIES,37.0,11256,ＳＢＩ証券,SBI SECURITIES,37,165110019,FUT_NK225M_2011,2020-09-23
26,11256,ＳＢＩ証券,SBI SECURITIES,13269.0,11256,ＳＢＩ証券,SBI SECURITIES,13269,165120019,FUT_NK225M_2012,2020-09-23
29,11714,ＪＰモルガン証券,JPMorgan Japan,50.0,11714,ＪＰモルガン証券,JPMorgan Japan,50,135102318,PUT_NK225_201009_22375,2020-09-23
30,11256,ＳＢＩ証券,SBI SECURITIES,4.0,11256,ＳＢＩ証券,SBI SECURITIES,4,135102318,PUT_NK225_201009_22375,2020-09-23
33,11256,ＳＢＩ証券,SBI SECURITIES,25.0,11256,ＳＢＩ証券,SBI SECURITIES,25,135102518,PUT_NK225_201009_22500,2020-09-23
36,11256,ＳＢＩ証券,SBI SECURITIES,2.0,11256,ＳＢＩ証券,SBI SECURITIES,2,135102618,PUT_NK225_201009_22625,2020-09-23
39,11256,ＳＢＩ証券,SBI SECURITIES,8.0,11256,ＳＢＩ証券,SBI SECURITIES,8,135102718,PUT_NK225_201009_22750,2020-09-23
42,11256,ＳＢＩ証券,SBI SECURITIES,2.0,11256,ＳＢＩ証券,SBI SECURITIES,2,135102818,PUT_NK225_201009_22875,2020-09-23
45,12410,バークレイズ証券,Barclays Japan,200.0,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,200,135103018,PUT_NK225_201009_23000,2020-09-23
46,11256,ＳＢＩ証券,SBI SECURITIES,11.0,11256,ＳＢＩ証券,SBI SECURITIES,11,135103018,PUT_NK225_201009_23000,2020-09-23
