,institutions_sell_code,institutions_sell,institutions_sell_eng,volume_sell,institutions_buy_code,institutions_buy,institutions_buy_eng,volume_buy,JPX_code,instrument,date
2,11788,ソシエテ・ジェネラル,Societe Generale,12634,11788,ソシエテ・ジェネラル,Societe Generale,12376,166030005,FUT_TOPIX_2103,2021-01-19
3,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,11793,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,11405,166030005,FUT_TOPIX_2103,2021-01-19
4,11746,ＵＢＳ証券,UBS Securities Japan,1549,11714,ＪＰモルガン証券,JPMorgan Japan,1774,166030005,FUT_TOPIX_2103,2021-01-19
5,12792,BofA証券,BofA Securities,1251,12410,バークレイズ証券,Barclays Japan,1433,166030005,FUT_TOPIX_2103,2021-01-19
6,12176,ドイツ証券,Deutsche Securities,1017,12400,野村證券,Nomura Securities,1372,166030005,FUT_TOPIX_2103,2021-01-19
7,11560,ゴールドマンサックス,Goldman Sachs Japan,1007,11560,ゴールドマンサックス,Goldman Sachs Japan,1245,166030005,FUT_TOPIX_2103,2021-01-19
8,12410,バークレイズ証券,Barclays Japan,867,11635,クレディ・スイス証券,Credit Suisse Japan,734,166030005,FUT_TOPIX_2103,2021-01-19
9,12400,野村證券,Nomura Securities,834,12800,モルガンスタンレー,Morgan Stanley MUFG,715,166030005,FUT_TOPIX_2103,2021-01-19
10,11635,クレディ・スイス証券,Credit Suisse Japan,823,11746,ＵＢＳ証券,UBS Securities Japan,704,166030005,FUT_TOPIX_2103,2021-01-19
11,12800,モルガンスタンレー,Morgan Stanley MUFG,738,12792,BofA証券,BofA Securities,667,166030005,FUT_TOPIX_2103,2021-01-19
12,12328,ＳＭＢＣ日興証券,SMBC Nikko Sec,495,12428,ＢＮＰパリバ証券,BNP Paribas (Japan),444,166030005,FUT_TOPIX_2103,2021-01-19
13,11714,ＪＰモルガン証券,JPMorgan Japan,404,12328,ＳＭＢＣ日興証券,SMBC Nikko Sec,300,166030005,FUT_TOPIX_2103,2021-01-19
14,12428,ＢＮＰパリバ証券,BNP Paribas (Japan),182,12000,大和証券,Daiwa Securities,248,166030005,FUT_TOPIX_2103,2021-01-19
15,12464,廣田証券,HIROTA SECURITIES,156,11792,シティグループ証券,Citigroup Japan,190,166030005,FUT_TOPIX_2103,2021-01-19
16,12000,大和証券,Daiwa Securities,136,12464,廣田証券,HIROTA SECURITIES,162,166030005,FUT_TOPIX_2103,2021-01-19
17,12336,日産証券,Nissan Securities,128,12795,インタラクティブ証券,Interactive Brokers,140,166030005,FUT_TOPIX_2103,2021-01-19
18,11520,三菱ＵＦＪモルガン,Mitsubishi UFJ Mor,108,12336,日産証券,Nissan Securities,126,166030005,FUT_TOPIX_2103,2021-01-19
19,11696,みずほ証券,Mizuho Securities,96,11696,みずほ証券,Mizuho Securities,92,166030005,FUT_TOPIX_2103,2021-01-19
20,11256,ＳＢＩ証券,SBI SECURITIES,89,11256,ＳＢＩ証券,SBI SECURITIES,88,166030005,FUT_TOPIX_2103,2021-01-19
21,11060,ａｕカブコム証券,au Kabucom Securitie,51,11520,三菱ＵＦＪモルガン,Mitsubishi UFJ Mor,87,166030005,FUT_TOPIX_2103,2021-01-19
