,institutions_sell_code,institutions_sell,institutions_sell_eng,volume_sell,institutions_buy_code,institutions_buy,institutions_buy_eng,volume_buy,JPX_code,instrument,date
2,11696,みずほ証券,Mizuho Securities,460.0,11696.0,みずほ証券,Mizuho Securities,460.0,165090005,FUT_TOPIX_2009,2020-08-20
3,12328,ＳＭＢＣ日興証券,SMBC Nikko Sec,46.0,12328.0,ＳＭＢＣ日興証券,SMBC Nikko Sec,46.0,165090005,FUT_TOPIX_2009,2020-08-20
4,11256,ＳＢＩ証券,SBI SECURITIES,45.0,11256.0,ＳＢＩ証券,SBI SECURITIES,45.0,165090005,FUT_TOPIX_2009,2020-08-20
5,12800,モルガンスタンレー,Morgan Stanley MUFG,2.0,12800.0,モルガンスタンレー,Morgan Stanley MUFG,2.0,165090005,FUT_TOPIX_2009,2020-08-20
8,11696,みずほ証券,Mizuho Securities,451.0,11696.0,みずほ証券,Mizuho Securities,451.0,165090018,FUT_NK225_2009,2020-08-20
9,11256,ＳＢＩ証券,SBI SECURITIES,235.0,11256.0,ＳＢＩ証券,SBI SECURITIES,235.0,165090018,FUT_NK225_2009,2020-08-20
10,11746,ＵＢＳ証券,UBS Securities Japan,95.0,12479.0,ＡＢＮアムロクリア,ABN AMRO Clearing,168.0,165090018,FUT_NK225_2009,2020-08-20
11,11714,ＪＰモルガン証券,JPMorgan Japan,67.0,12724.0,ＨＳＢＣ証券,HSBC (Japan),56.0,165090018,FUT_NK225_2009,2020-08-20
12,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,59.0,11520.0,三菱ＵＦＪモルガン,Mitsubishi UFJ Mor,35.0,165090018,FUT_NK225_2009,2020-08-20
13,11560,ゴールドマンサックス,Goldman Sachs Japan,35.0,11635.0,クレディ・スイス証券,Credit Suisse Japan,29.0,165090018,FUT_NK225_2009,2020-08-20
14,11520,三菱ＵＦＪモルガン,Mitsubishi UFJ Mor,35.0,12428.0,ＢＮＰパリバ証券,BNP Paribas (Japan),3.0,165090018,FUT_NK225_2009,2020-08-20
17,11256,ＳＢＩ証券,SBI SECURITIES,13719.0,11256.0,ＳＢＩ証券,SBI SECURITIES,13719.0,165090019,FUT_NK225M_2009,2020-08-20
20,11256,ＳＢＩ証券,SBI SECURITIES,99.0,11256.0,ＳＢＩ証券,SBI SECURITIES,99.0,165100019,FUT_NK225M_2010,2020-08-20
23,11256,ＳＢＩ証券,SBI SECURITIES,21.0,11256.0,ＳＢＩ証券,SBI SECURITIES,21.0,165110019,FUT_NK225M_2011,2020-08-20
26,11256,ＳＢＩ証券,SBI SECURITIES,45.0,11256.0,ＳＢＩ証券,SBI SECURITIES,45.0,135091818,PUT_NK225_200911_21875,2020-08-20
29,11256,ＳＢＩ証券,SBI SECURITIES,25.0,11256.0,ＳＢＩ証券,SBI SECURITIES,25.0,135092018,PUT_NK225_200911_22000,2020-08-20
32,11256,ＳＢＩ証券,SBI SECURITIES,27.0,11256.0,ＳＢＩ証券,SBI SECURITIES,27.0,135092118,PUT_NK225_200911_22125,2020-08-20
35,11256,ＳＢＩ証券,SBI SECURITIES,4.0,11256.0,ＳＢＩ証券,SBI SECURITIES,4.0,135092218,PUT_NK225_200911_22250,2020-08-20
38,11256,ＳＢＩ証券,SBI SECURITIES,15.0,11256.0,ＳＢＩ証券,SBI SECURITIES,15.0,135092518,PUT_NK225_200911_22500,2020-08-20
41,11256,ＳＢＩ証券,SBI SECURITIES,1.0,11256.0,ＳＢＩ証券,SBI SECURITIES,1.0,135092618,PUT_NK225_200911_22625,2020-08-20
44,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,125.0,12428.0,ＢＮＰパリバ証券,BNP Paribas (Japan),125.0,135092718,PUT_NK225_200911_22750,2020-08-20
45,11256,ＳＢＩ証券,SBI SECURITIES,6.0,11256.0,ＳＢＩ証券,SBI SECURITIES,6.0,135092718,PUT_NK225_200911_22750,2020-08-20
48,11256,ＳＢＩ証券,SBI SECURITIES,8.0,11256.0,ＳＢＩ証券,SBI SECURITIES,8.0,135093018,PUT_NK225_200911_23000,2020-08-20
51,11256,ＳＢＩ証券,SBI SECURITIES,6.0,11256.0,ＳＢＩ証券,SBI SECURITIES,6.0,135093118,PUT_NK225_200911_23125,2020-08-20
54,11256,ＳＢＩ証券,SBI SECURITIES,2.0,11256.0,ＳＢＩ証券,SBI SECURITIES,2.0,145093818,CAL_NK225_200911_23875,2020-08-20
57,11256,ＳＢＩ証券,SBI SECURITIES,39.0,11256.0,ＳＢＩ証券,SBI SECURITIES,39.0,145093718,CAL_NK225_200911_23750,2020-08-20
60,11256,ＳＢＩ証券,SBI SECURITIES,3.0,11256.0,ＳＢＩ証券,SBI SECURITIES,3.0,145093618,CAL_NK225_200911_23625,2020-08-20
63,12724,ＨＳＢＣ証券,HSBC (Japan),150.0,12479.0,ＡＢＮアムロクリア,ABN AMRO Clearing,150.0,145093518,CAL_NK225_200911_23500,2020-08-20
64,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,125.0,12428.0,ＢＮＰパリバ証券,BNP Paribas (Japan),125.0,145093518,CAL_NK225_200911_23500,2020-08-20
65,11256,ＳＢＩ証券,SBI SECURITIES,11.0,11256.0,ＳＢＩ証券,SBI SECURITIES,11.0,145093518,CAL_NK225_200911_23500,2020-08-20
68,11256,ＳＢＩ証券,SBI SECURITIES,3.0,11256.0,ＳＢＩ証券,SBI SECURITIES,3.0,145093318,CAL_NK225_200911_23375,2020-08-20
71,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,100.0,11560.0,ゴールドマンサックス,Goldman Sachs Japan,100.0,145093218,CAL_NK225_200911_23250,2020-08-20
72,11256,ＳＢＩ証券,SBI SECURITIES,2.0,11256.0,ＳＢＩ証券,SBI SECURITIES,2.0,145093218,CAL_NK225_200911_23250,2020-08-20
75,11256,ＳＢＩ証券,SBI SECURITIES,4.0,11256.0,ＳＢＩ証券,SBI SECURITIES,4.0,145093118,CAL_NK225_200911_23125,2020-08-20
78,11256,ＳＢＩ証券,SBI SECURITIES,4.0,11256.0,ＳＢＩ証券,SBI SECURITIES,4.0,145093018,CAL_NK225_200911_23000,2020-08-20
