,institutions_sell_code,institutions_sell,institutions_sell_eng,volume_sell,institutions_buy_code,institutions_buy,institutions_buy_eng,volume_buy,JPX_code,instrument,date
2,12328,ＳＭＢＣ日興証券,SMBC Nikko Sec,415,12328,ＳＭＢＣ日興証券,SMBC Nikko Sec,415,165090005,FUT_TOPIX_2009,2020-08-25
3,11792,シティグループ証券,Citigroup Japan,38,11792,シティグループ証券,Citigroup Japan,38,165090005,FUT_TOPIX_2009,2020-08-25
4,11256,ＳＢＩ証券,SBI SECURITIES,31,11256,ＳＢＩ証券,SBI SECURITIES,31,165090005,FUT_TOPIX_2009,2020-08-25
7,11256,ＳＢＩ証券,SBI SECURITIES,1056,11256,ＳＢＩ証券,SBI SECURITIES,1056,165090018,FUT_NK225_2009,2020-08-25
8,11560,ゴールドマンサックス,Goldman Sachs Japan,139,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,308,165090018,FUT_NK225_2009,2020-08-25
9,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,109,12410,バークレイズ証券,Barclays Japan,64,165090018,FUT_NK225_2009,2020-08-25
10,12410,バークレイズ証券,Barclays Japan,62,11746,ＵＢＳ証券,UBS Securities Japan,12,165090018,FUT_NK225_2009,2020-08-25
11,11788,ソシエテ・ジェネラル,Societe Generale,33,11788,ソシエテ・ジェネラル,Societe Generale,4,165090018,FUT_NK225_2009,2020-08-25
12,11696,みずほ証券,Mizuho Securities,33,-,-,-,-,165090018,FUT_NK225_2009,2020-08-25
13,11746,ＵＢＳ証券,UBS Securities Japan,12,-,-,-,-,165090018,FUT_NK225_2009,2020-08-25
16,11256,ＳＢＩ証券,SBI SECURITIES,5,11256,ＳＢＩ証券,SBI SECURITIES,5,165120018,FUT_NK225_2012,2020-08-25
19,11256,ＳＢＩ証券,SBI SECURITIES,18443,11256,ＳＢＩ証券,SBI SECURITIES,18443,165090019,FUT_NK225M_2009,2020-08-25
20,12800,モルガンスタンレー,Morgan Stanley MUFG,25,12800,モルガンスタンレー,Morgan Stanley MUFG,25,165090019,FUT_NK225M_2009,2020-08-25
23,11256,ＳＢＩ証券,SBI SECURITIES,49,11256,ＳＢＩ証券,SBI SECURITIES,49,165100019,FUT_NK225M_2010,2020-08-25
26,11256,ＳＢＩ証券,SBI SECURITIES,41,11256,ＳＢＩ証券,SBI SECURITIES,41,165110019,FUT_NK225M_2011,2020-08-25
29,11256,ＳＢＩ証券,SBI SECURITIES,34,11256,ＳＢＩ証券,SBI SECURITIES,34,135092218,PUT_NK225_200911_22250,2020-08-25
32,11256,ＳＢＩ証券,SBI SECURITIES,5,11256,ＳＢＩ証券,SBI SECURITIES,5,135092318,PUT_NK225_200911_22375,2020-08-25
35,11256,ＳＢＩ証券,SBI SECURITIES,140,11256,ＳＢＩ証券,SBI SECURITIES,140,135092518,PUT_NK225_200911_22500,2020-08-25
36,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,100,11560,ゴールドマンサックス,Goldman Sachs Japan,100,135092518,PUT_NK225_200911_22500,2020-08-25
39,11256,ＳＢＩ証券,SBI SECURITIES,3,11256,ＳＢＩ証券,SBI SECURITIES,3,135092618,PUT_NK225_200911_22625,2020-08-25
42,11788,ソシエテ・ジェネラル,Societe Generale,100,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,100,135092718,PUT_NK225_200911_22750,2020-08-25
43,11256,ＳＢＩ証券,SBI SECURITIES,9,11256,ＳＢＩ証券,SBI SECURITIES,9,135092718,PUT_NK225_200911_22750,2020-08-25
46,11256,ＳＢＩ証券,SBI SECURITIES,4,11256,ＳＢＩ証券,SBI SECURITIES,4,135092818,PUT_NK225_200911_22875,2020-08-25
49,11560,ゴールドマンサックス,Goldman Sachs Japan,100,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,100,135093018,PUT_NK225_200911_23000,2020-08-25
50,11256,ＳＢＩ証券,SBI SECURITIES,16,11256,ＳＢＩ証券,SBI SECURITIES,16,135093018,PUT_NK225_200911_23000,2020-08-25
53,11256,ＳＢＩ証券,SBI SECURITIES,2,11256,ＳＢＩ証券,SBI SECURITIES,2,135093118,PUT_NK225_200911_23125,2020-08-25
56,11256,ＳＢＩ証券,SBI SECURITIES,9,11256,ＳＢＩ証券,SBI SECURITIES,9,135093218,PUT_NK225_200911_23250,2020-08-25
59,11256,ＳＢＩ証券,SBI SECURITIES,10,11256,ＳＢＩ証券,SBI SECURITIES,10,135093518,PUT_NK225_200911_23500,2020-08-25
62,11256,ＳＢＩ証券,SBI SECURITIES,25,11256,ＳＢＩ証券,SBI SECURITIES,25,145094218,CAL_NK225_200911_24250,2020-08-25
65,11256,ＳＢＩ証券,SBI SECURITIES,24,11256,ＳＢＩ証券,SBI SECURITIES,24,145094118,CAL_NK225_200911_24125,2020-08-25
68,11256,ＳＢＩ証券,SBI SECURITIES,101,11256,ＳＢＩ証券,SBI SECURITIES,101,145094018,CAL_NK225_200911_24000,2020-08-25
69,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,100,11788,ソシエテ・ジェネラル,Societe Generale,100,145094018,CAL_NK225_200911_24000,2020-08-25
72,11256,ＳＢＩ証券,SBI SECURITIES,10,11256,ＳＢＩ証券,SBI SECURITIES,10,145093818,CAL_NK225_200911_23875,2020-08-25
75,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,150,11696,みずほ証券,Mizuho Securities,150,145093718,CAL_NK225_200911_23750,2020-08-25
76,11256,ＳＢＩ証券,SBI SECURITIES,13,11256,ＳＢＩ証券,SBI SECURITIES,13,145093718,CAL_NK225_200911_23750,2020-08-25
79,11256,ＳＢＩ証券,SBI SECURITIES,9,11256,ＳＢＩ証券,SBI SECURITIES,9,145093618,CAL_NK225_200911_23625,2020-08-25
82,11256,ＳＢＩ証券,SBI SECURITIES,61,11256,ＳＢＩ証券,SBI SECURITIES,61,145093518,CAL_NK225_200911_23500,2020-08-25
85,11256,ＳＢＩ証券,SBI SECURITIES,1,11256,ＳＢＩ証券,SBI SECURITIES,1,145093318,CAL_NK225_200911_23375,2020-08-25
88,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,250,12410,バークレイズ証券,Barclays Japan,150,145093218,CAL_NK225_200911_23250,2020-08-25
89,11256,ＳＢＩ証券,SBI SECURITIES,22,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,100,145093218,CAL_NK225_200911_23250,2020-08-25
90,-,-,-,-,11256,ＳＢＩ証券,SBI SECURITIES,22,145093218,CAL_NK225_200911_23250,2020-08-25
93,11256,ＳＢＩ証券,SBI SECURITIES,7,11256,ＳＢＩ証券,SBI SECURITIES,7,145093118,CAL_NK225_200911_23125,2020-08-25
96,11256,ＳＢＩ証券,SBI SECURITIES,19,11256,ＳＢＩ証券,SBI SECURITIES,19,145093018,CAL_NK225_200911_23000,2020-08-25
