,institutions_sell_code,institutions_sell,institutions_sell_eng,volume_sell,institutions_buy_code,institutions_buy,institutions_buy_eng,volume_buy,JPX_code,instrument,date
2,12400,野村證券,Nomura Securities,2367,12400,野村證券,Nomura Securities,2381,166030005,FUT_TOPIX_2103,2021-01-19
3,11696,みずほ証券,Mizuho Securities,1708,11746,ＵＢＳ証券,UBS Securities Japan,1001,166030005,FUT_TOPIX_2103,2021-01-19
4,11560,ゴールドマンサックス,Goldman Sachs Japan,192,11792,シティグループ証券,Citigroup Japan,562,166030005,FUT_TOPIX_2103,2021-01-19
5,12792,BofA証券,BofA Securities,173,12792,BofA証券,BofA Securities,343,166030005,FUT_TOPIX_2103,2021-01-19
6,12328,ＳＭＢＣ日興証券,SMBC Nikko Sec,154,11696,みずほ証券,Mizuho Securities,294,166030005,FUT_TOPIX_2103,2021-01-19
7,11792,シティグループ証券,Citigroup Japan,152,11560,ゴールドマンサックス,Goldman Sachs Japan,224,166030005,FUT_TOPIX_2103,2021-01-19
8,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,101,12328,ＳＭＢＣ日興証券,SMBC Nikko Sec,110,166030005,FUT_TOPIX_2103,2021-01-19
9,11746,ＵＢＳ証券,UBS Securities Japan,80,11788,ソシエテ・ジェネラル,Societe Generale,106,166030005,FUT_TOPIX_2103,2021-01-19
10,12428,ＢＮＰパリバ証券,BNP Paribas (Japan),79,12000,大和証券,Daiwa Securities,75,166030005,FUT_TOPIX_2103,2021-01-19
11,12000,大和証券,Daiwa Securities,75,11256,ＳＢＩ証券,SBI SECURITIES,38,166030005,FUT_TOPIX_2103,2021-01-19
12,11256,ＳＢＩ証券,SBI SECURITIES,38,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,12,166030005,FUT_TOPIX_2103,2021-01-19
13,11788,ソシエテ・ジェネラル,Societe Generale,26,12800,モルガンスタンレー,Morgan Stanley MUFG,6,166030005,FUT_TOPIX_2103,2021-01-19
14,12800,モルガンスタンレー,Morgan Stanley MUFG,7,11635,クレディ・スイス証券,Credit Suisse Japan,3,166030005,FUT_TOPIX_2103,2021-01-19
15,11635,クレディ・スイス証券,Credit Suisse Japan,3,-,-,-,-,166030005,FUT_TOPIX_2103,2021-01-19
18,12400,野村證券,Nomura Securities,1381,12400,野村證券,Nomura Securities,1968,166030018,FUT_NK225_2103,2021-01-19
19,11256,ＳＢＩ証券,SBI SECURITIES,997,11256,ＳＢＩ証券,SBI SECURITIES,997,166030018,FUT_NK225_2103,2021-01-19
20,11696,みずほ証券,Mizuho Securities,918,11560,ゴールドマンサックス,Goldman Sachs Japan,642,166030018,FUT_NK225_2103,2021-01-19
21,11788,ソシエテ・ジェネラル,Societe Generale,740,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,593,166030018,FUT_NK225_2103,2021-01-19
22,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,633,11746,ＵＢＳ証券,UBS Securities Japan,531,166030018,FUT_NK225_2103,2021-01-19
23,11560,ゴールドマンサックス,Goldman Sachs Japan,448,11788,ソシエテ・ジェネラル,Societe Generale,491,166030018,FUT_NK225_2103,2021-01-19
24,11792,シティグループ証券,Citigroup Japan,286,12792,BofA証券,BofA Securities,436,166030018,FUT_NK225_2103,2021-01-19
25,12792,BofA証券,BofA Securities,280,11696,みずほ証券,Mizuho Securities,309,166030018,FUT_NK225_2103,2021-01-19
26,12336,日産証券,Nissan Securities,230,12800,モルガンスタンレー,Morgan Stanley MUFG,299,166030018,FUT_NK225_2103,2021-01-19
27,12800,モルガンスタンレー,Morgan Stanley MUFG,225,11714,ＪＰモルガン証券,JPMorgan Japan,260,166030018,FUT_NK225_2103,2021-01-19
28,11714,ＪＰモルガン証券,JPMorgan Japan,225,11520,三菱ＵＦＪモルガン,Mitsubishi UFJ Mor,141,166030018,FUT_NK225_2103,2021-01-19
29,11746,ＵＢＳ証券,UBS Securities Japan,192,12428,ＢＮＰパリバ証券,BNP Paribas (Japan),100,166030018,FUT_NK225_2103,2021-01-19
30,12428,ＢＮＰパリバ証券,BNP Paribas (Japan),138,12328,ＳＭＢＣ日興証券,SMBC Nikko Sec,61,166030018,FUT_NK225_2103,2021-01-19
31,12072,東海東京証券,Tokai Tokyo Sec,112,12000,大和証券,Daiwa Securities,56,166030018,FUT_NK225_2103,2021-01-19
32,12000,大和証券,Daiwa Securities,56,12072,東海東京証券,Tokai Tokyo Sec,56,166030018,FUT_NK225_2103,2021-01-19
33,11635,クレディ・スイス証券,Credit Suisse Japan,55,12410,バークレイズ証券,Barclays Japan,41,166030018,FUT_NK225_2103,2021-01-19
34,12328,ＳＭＢＣ日興証券,SMBC Nikko Sec,55,12336,日産証券,Nissan Securities,20,166030018,FUT_NK225_2103,2021-01-19
35,11520,三菱ＵＦＪモルガン,Mitsubishi UFJ Mor,28,11792,シティグループ証券,Citigroup Japan,8,166030018,FUT_NK225_2103,2021-01-19
36,12410,バークレイズ証券,Barclays Japan,10,-,-,-,-,166030018,FUT_NK225_2103,2021-01-19
39,11560,ゴールドマンサックス,Goldman Sachs Japan,150,11560,ゴールドマンサックス,Goldman Sachs Japan,150,166060018,FUT_NK225_2106,2021-01-19
40,11746,ＵＢＳ証券,UBS Securities Japan,100,11696,みずほ証券,Mizuho Securities,100,166060018,FUT_NK225_2106,2021-01-19
41,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,100,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,100,166060018,FUT_NK225_2106,2021-01-19
42,12792,BofA証券,BofA Securities,100,12792,BofA証券,BofA Securities,100,166060018,FUT_NK225_2106,2021-01-19
43,11256,ＳＢＩ証券,SBI SECURITIES,1,11256,ＳＢＩ証券,SBI SECURITIES,1,166060018,FUT_NK225_2106,2021-01-19
46,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,3000,11696,みずほ証券,Mizuho Securities,3000,166020019,FUT_NK225M_2102,2021-01-19
47,11256,ＳＢＩ証券,SBI SECURITIES,2179,11256,ＳＢＩ証券,SBI SECURITIES,2179,166020019,FUT_NK225M_2102,2021-01-19
50,11256,ＳＢＩ証券,SBI SECURITIES,38369,11256,ＳＢＩ証券,SBI SECURITIES,38369,166030019,FUT_NK225M_2103,2021-01-19
51,12400,野村證券,Nomura Securities,1506,12400,野村證券,Nomura Securities,1500,166030019,FUT_NK225M_2103,2021-01-19
52,12800,モルガンスタンレー,Morgan Stanley MUFG,93,12800,モルガンスタンレー,Morgan Stanley MUFG,93,166030019,FUT_NK225M_2103,2021-01-19
53,-,-,-,-,11520,三菱ＵＦＪモルガン,Mitsubishi UFJ Mor,6,166030019,FUT_NK225M_2103,2021-01-19
56,11256,ＳＢＩ証券,SBI SECURITIES,11,11256,ＳＢＩ証券,SBI SECURITIES,11,166040019,FUT_NK225M_2104,2021-01-19
59,11256,ＳＢＩ証券,SBI SECURITIES,1,11256,ＳＢＩ証券,SBI SECURITIES,1,136027618,PUT_NK225_210212_27625,2021-01-19
62,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,500,12800,モルガンスタンレー,Morgan Stanley MUFG,500,186027718,PUT_NK225_210212_27750,2021-01-19
63,11746,ＵＢＳ証券,UBS Securities Japan,200,12410,バークレイズ証券,Barclays Japan,200,186027718,PUT_NK225_210212_27750,2021-01-19
64,11788,ソシエテ・ジェネラル,Societe Generale,200,11714,ＪＰモルガン証券,JPMorgan Japan,100,186027718,PUT_NK225_210212_27750,2021-01-19
65,11256,ＳＢＩ証券,SBI SECURITIES,77,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,100,186027718,PUT_NK225_210212_27750,2021-01-19
66,-,-,-,-,11256,ＳＢＩ証券,SBI SECURITIES,77,186027718,PUT_NK225_210212_27750,2021-01-19
69,11256,ＳＢＩ証券,SBI SECURITIES,22,11256,ＳＢＩ証券,SBI SECURITIES,22,186028018,PUT_NK225_210212_28000,2021-01-19
72,11256,ＳＢＩ証券,SBI SECURITIES,5,11256,ＳＢＩ証券,SBI SECURITIES,5,136028118,PUT_NK225_210212_28125,2021-01-19
