,institutions_sell_code,institutions_sell,institutions_sell_eng,volume_sell,institutions_buy_code,institutions_buy,institutions_buy_eng,volume_buy,JPX_code,instrument,date
2,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,25321,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,23890,165120005,FUT_TOPIX_2012,2020-09-23
3,11788,ソシエテ・ジェネラル,Societe Generale,18646,11788,ソシエテ・ジェネラル,Societe Generale,16106,165120005,FUT_TOPIX_2012,2020-09-23
4,11714,ＪＰモルガン証券,JPMorgan Japan,4521,12800,モルガンスタンレー,Morgan Stanley MUFG,5407,165120005,FUT_TOPIX_2012,2020-09-23
5,12410,バークレイズ証券,Barclays Japan,3455,12410,バークレイズ証券,Barclays Japan,4300,165120005,FUT_TOPIX_2012,2020-09-23
6,12792,メリルリンチ日本証券,Merrill Lynch Japan,3088,12792,メリルリンチ日本証券,Merrill Lynch Japan,3554,165120005,FUT_TOPIX_2012,2020-09-23
7,12800,モルガンスタンレー,Morgan Stanley MUFG,2380,12000,大和証券,Daiwa Securities,3488,165120005,FUT_TOPIX_2012,2020-09-23
8,11560,ゴールドマンサックス,Goldman Sachs Japan,2305,12400,野村證券,Nomura Securities,2785,165120005,FUT_TOPIX_2012,2020-09-23
9,12400,野村證券,Nomura Securities,2270,11714,ＪＰモルガン証券,JPMorgan Japan,2039,165120005,FUT_TOPIX_2012,2020-09-23
10,12176,ドイツ証券,Deutsche Securities,2016,11560,ゴールドマンサックス,Goldman Sachs Japan,1900,165120005,FUT_TOPIX_2012,2020-09-23
11,11635,クレディ・スイス証券,Credit Suisse Japan,1814,11746,ＵＢＳ証券,UBS Securities Japan,1536,165120005,FUT_TOPIX_2012,2020-09-23
12,11746,ＵＢＳ証券,UBS Securities Japan,1216,12328,ＳＭＢＣ日興証券,SMBC Nikko Sec,1244,165120005,FUT_TOPIX_2012,2020-09-23
13,12328,ＳＭＢＣ日興証券,SMBC Nikko Sec,1143,11635,クレディ・スイス証券,Credit Suisse Japan,1163,165120005,FUT_TOPIX_2012,2020-09-23
14,11696,みずほ証券,Mizuho Securities,1108,11696,みずほ証券,Mizuho Securities,872,165120005,FUT_TOPIX_2012,2020-09-23
15,12428,ＢＮＰパリバ証券,BNP Paribas (Japan),492,11792,シティグループ証券,Citigroup Japan,722,165120005,FUT_TOPIX_2012,2020-09-23
16,12795,インタラクティブ証券,Interactive Brokers,432,12176,ドイツ証券,Deutsche Securities,567,165120005,FUT_TOPIX_2012,2020-09-23
17,12000,大和証券,Daiwa Securities,425,11256,ＳＢＩ証券,SBI SECURITIES,403,165120005,FUT_TOPIX_2012,2020-09-23
18,12336,日産証券,Nissan Securities,216,12795,インタラクティブ証券,Interactive Brokers,306,165120005,FUT_TOPIX_2012,2020-09-23
19,11256,ＳＢＩ証券,SBI SECURITIES,196,12336,日産証券,Nissan Securities,283,165120005,FUT_TOPIX_2012,2020-09-23
20,11520,三菱ＵＦＪモルガン,Mitsubishi UFJ Mor,162,12724,ＨＳＢＣ証券,HSBC (Japan),280,165120005,FUT_TOPIX_2012,2020-09-23
21,11792,シティグループ証券,Citigroup Japan,134,11520,三菱ＵＦＪモルガン,Mitsubishi UFJ Mor,202,165120005,FUT_TOPIX_2012,2020-09-23
24,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,16465,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,16701,165120018,FUT_NK225_2012,2020-09-23
25,11788,ソシエテ・ジェネラル,Societe Generale,11633,11788,ソシエテ・ジェネラル,Societe Generale,11421,165120018,FUT_NK225_2012,2020-09-23
26,12800,モルガンスタンレー,Morgan Stanley MUFG,2302,12792,メリルリンチ日本証券,Merrill Lynch Japan,2518,165120018,FUT_NK225_2012,2020-09-23
27,12792,メリルリンチ日本証券,Merrill Lynch Japan,1518,12400,野村證券,Nomura Securities,2481,165120018,FUT_NK225_2012,2020-09-23
28,12400,野村證券,Nomura Securities,1468,11714,ＪＰモルガン証券,JPMorgan Japan,1995,165120018,FUT_NK225_2012,2020-09-23
29,11256,ＳＢＩ証券,SBI SECURITIES,1192,12800,モルガンスタンレー,Morgan Stanley MUFG,1310,165120018,FUT_NK225_2012,2020-09-23
