,institutions_sell_code,institutions_sell,institutions_sell_eng,volume_sell,institutions_buy_code,institutions_buy,institutions_buy_eng,volume_buy,JPX_code,instrument,date
2,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,10108,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,9936,165090005,FUT_TOPIX_2009,2020-08-12
3,11788,ソシエテ・ジェネラル,Societe Generale,4715,11788,ソシエテ・ジェネラル,Societe Generale,4436,165090005,FUT_TOPIX_2009,2020-08-12
4,11635,クレディ・スイス証券,Credit Suisse Japan,1762,11560,ゴールドマンサックス,Goldman Sachs Japan,2338,165090005,FUT_TOPIX_2009,2020-08-12
5,12792,メリルリンチ日本証券,Merrill Lynch Japan,1225,11746,ＵＢＳ証券,UBS Securities Japan,1657,165090005,FUT_TOPIX_2009,2020-08-12
6,11714,ＪＰモルガン証券,JPMorgan Japan,856,11714,ＪＰモルガン証券,JPMorgan Japan,1084,165090005,FUT_TOPIX_2009,2020-08-12
7,12800,モルガンスタンレー,Morgan Stanley MUFG,694,12800,モルガンスタンレー,Morgan Stanley MUFG,499,165090005,FUT_TOPIX_2009,2020-08-12
8,12410,バークレイズ証券,Barclays Japan,658,12410,バークレイズ証券,Barclays Japan,481,165090005,FUT_TOPIX_2009,2020-08-12
9,12724,ＨＳＢＣ証券,HSBC (Japan),427,12792,メリルリンチ日本証券,Merrill Lynch Japan,328,165090005,FUT_TOPIX_2009,2020-08-12
10,11560,ゴールドマンサックス,Goldman Sachs Japan,354,11635,クレディ・スイス証券,Credit Suisse Japan,314,165090005,FUT_TOPIX_2009,2020-08-12
11,12336,日産証券,Nissan Securities,235,12400,野村證券,Nomura Securities,174,165090005,FUT_TOPIX_2009,2020-08-12
12,11256,ＳＢＩ証券,SBI SECURITIES,208,11256,ＳＢＩ証券,SBI SECURITIES,169,165090005,FUT_TOPIX_2009,2020-08-12
13,12400,野村證券,Nomura Securities,178,12336,日産証券,Nissan Securities,128,165090005,FUT_TOPIX_2009,2020-08-12
14,11746,ＵＢＳ証券,UBS Securities Japan,144,12428,ＢＮＰパリバ証券,BNP Paribas (Japan),109,165090005,FUT_TOPIX_2009,2020-08-12
15,12795,インタラクティブ証券,Interactive Brokers,132,11792,シティグループ証券,Citigroup Japan,108,165090005,FUT_TOPIX_2009,2020-08-12
16,11272,岡三証券,OKASAN SECURITIES,93,11272,岡三証券,OKASAN SECURITIES,72,165090005,FUT_TOPIX_2009,2020-08-12
17,12428,ＢＮＰパリバ証券,BNP Paribas (Japan),50,12724,ＨＳＢＣ証券,HSBC (Japan),65,165090005,FUT_TOPIX_2009,2020-08-12
18,11792,シティグループ証券,Citigroup Japan,45,12328,ＳＭＢＣ日興証券,SMBC Nikko Sec,38,165090005,FUT_TOPIX_2009,2020-08-12
19,12888,山和証券,YAMAWA SECURITIES,37,12888,山和証券,YAMAWA SECURITIES,37,165090005,FUT_TOPIX_2009,2020-08-12
20,11060,ａｕカブコム証券,au Kabucom Securitie,35,11060,ａｕカブコム証券,au Kabucom Securitie,23,165090005,FUT_TOPIX_2009,2020-08-12
21,12000,大和証券,Daiwa Securities,28,11056,安藤証券,ANDO SECURITIES,16,165090005,FUT_TOPIX_2009,2020-08-12
24,12792,メリルリンチ日本証券,Merrill Lynch Japan,1,12560,松井証券,MATSUI SECURITIES,1,165120005,FUT_TOPIX_2012,2020-08-12
27,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,11156,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,10777,165090018,FUT_NK225_2009,2020-08-12
28,11788,ソシエテ・ジェネラル,Societe Generale,6448,11788,ソシエテ・ジェネラル,Societe Generale,6342,165090018,FUT_NK225_2009,2020-08-12
29,11635,クレディ・スイス証券,Credit Suisse Japan,1051,12428,ＢＮＰパリバ証券,BNP Paribas (Japan),958,165090018,FUT_NK225_2009,2020-08-12
30,11256,ＳＢＩ証券,SBI SECURITIES,713,11714,ＪＰモルガン証券,JPMorgan Japan,850,165090018,FUT_NK225_2009,2020-08-12
31,12792,メリルリンチ日本証券,Merrill Lynch Japan,640,12792,メリルリンチ日本証券,Merrill Lynch Japan,711,165090018,FUT_NK225_2009,2020-08-12
32,12057,楽天証券,Rakuten Securities,628,12800,モルガンスタンレー,Morgan Stanley MUFG,643,165090018,FUT_NK225_2009,2020-08-12
33,12560,松井証券,MATSUI SECURITIES,608,12560,松井証券,MATSUI SECURITIES,594,165090018,FUT_NK225_2009,2020-08-12
34,11060,ａｕカブコム証券,au Kabucom Securitie,448,12057,楽天証券,Rakuten Securities,516,165090018,FUT_NK225_2009,2020-08-12
35,12336,日産証券,Nissan Securities,402,11256,ＳＢＩ証券,SBI SECURITIES,456,165090018,FUT_NK225_2009,2020-08-12
36,12330,マネックス証券,Monex,350,11746,ＵＢＳ証券,UBS Securities Japan,346,165090018,FUT_NK225_2009,2020-08-12
37,12400,野村證券,Nomura Securities,291,11635,クレディ・スイス証券,Credit Suisse Japan,338,165090018,FUT_NK225_2009,2020-08-12
38,11714,ＪＰモルガン証券,JPMorgan Japan,207,12336,日産証券,Nissan Securities,317,165090018,FUT_NK225_2009,2020-08-12
39,11792,シティグループ証券,Citigroup Japan,201,11060,ａｕカブコム証券,au Kabucom Securitie,305,165090018,FUT_NK225_2009,2020-08-12
40,11696,みずほ証券,Mizuho Securities,189,12330,マネックス証券,Monex,151,165090018,FUT_NK225_2009,2020-08-12
41,11560,ゴールドマンサックス,Goldman Sachs Japan,182,12795,インタラクティブ証券,Interactive Brokers,137,165090018,FUT_NK225_2009,2020-08-12
42,12800,モルガンスタンレー,Morgan Stanley MUFG,140,12410,バークレイズ証券,Barclays Japan,128,165090018,FUT_NK225_2009,2020-08-12
43,11746,ＵＢＳ証券,UBS Securities Japan,100,12400,野村證券,Nomura Securities,125,165090018,FUT_NK225_2009,2020-08-12
44,11727,ＧＭＯクリック証券,GMO CLICK Securities,88,11272,岡三証券,OKASAN SECURITIES,110,165090018,FUT_NK225_2009,2020-08-12
45,12428,ＢＮＰパリバ証券,BNP Paribas (Japan),82,11792,シティグループ証券,Citigroup Japan,98,165090018,FUT_NK225_2009,2020-08-12
46,11272,岡三証券,OKASAN SECURITIES,62,11727,ＧＭＯクリック証券,GMO CLICK Securities,91,165090018,FUT_NK225_2009,2020-08-12
49,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,199,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,164,165120018,FUT_NK225_2012,2020-08-12
50,12057,楽天証券,Rakuten Securities,102,12057,楽天証券,Rakuten Securities,101,165120018,FUT_NK225_2012,2020-08-12
51,11727,ＧＭＯクリック証券,GMO CLICK Securities,43,11788,ソシエテ・ジェネラル,Societe Generale,50,165120018,FUT_NK225_2012,2020-08-12
52,11060,ａｕカブコム証券,au Kabucom Securitie,31,12336,日産証券,Nissan Securities,48,165120018,FUT_NK225_2012,2020-08-12
