,institutions_sell_code,institutions_sell,institutions_sell_eng,volume_sell,institutions_buy_code,institutions_buy,institutions_buy_eng,volume_buy,JPX_code,instrument,date
2,12400,野村證券,Nomura Securities,2438,12400,野村證券,Nomura Securities,3736,166030005,FUT_TOPIX_2103,2021-01-15
3,11792,シティグループ証券,Citigroup Japan,2157,11560,ゴールドマンサックス,Goldman Sachs Japan,3080,166030005,FUT_TOPIX_2103,2021-01-15
4,11560,ゴールドマンサックス,Goldman Sachs Japan,2112,11792,シティグループ証券,Citigroup Japan,1025,166030005,FUT_TOPIX_2103,2021-01-15
5,12800,モルガンスタンレー,Morgan Stanley MUFG,1025,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,259,166030005,FUT_TOPIX_2103,2021-01-15
6,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,412,11696,みずほ証券,Mizuho Securities,177,166030005,FUT_TOPIX_2103,2021-01-15
7,12792,BofA証券,BofA Securities,206,12428,ＢＮＰパリバ証券,BNP Paribas (Japan),100,166030005,FUT_TOPIX_2103,2021-01-15
8,11696,みずほ証券,Mizuho Securities,150,12328,ＳＭＢＣ日興証券,SMBC Nikko Sec,97,166030005,FUT_TOPIX_2103,2021-01-15
9,12328,ＳＭＢＣ日興証券,SMBC Nikko Sec,97,12000,大和証券,Daiwa Securities,92,166030005,FUT_TOPIX_2103,2021-01-15
10,11256,ＳＢＩ証券,SBI SECURITIES,34,11256,ＳＢＩ証券,SBI SECURITIES,34,166030005,FUT_TOPIX_2103,2021-01-15
11,12724,ＨＳＢＣ証券,HSBC (Japan),24,12800,モルガンスタンレー,Morgan Stanley MUFG,27,166030005,FUT_TOPIX_2103,2021-01-15
12,11788,ソシエテ・ジェネラル,Societe Generale,21,12792,BofA証券,BofA Securities,24,166030005,FUT_TOPIX_2103,2021-01-15
13,-,-,-,-,11788,ソシエテ・ジェネラル,Societe Generale,21,166030005,FUT_TOPIX_2103,2021-01-15
14,-,-,-,-,11520,三菱ＵＦＪモルガン,Mitsubishi UFJ Mor,4,166030005,FUT_TOPIX_2103,2021-01-15
17,11560,ゴールドマンサックス,Goldman Sachs Japan,1708,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,2118,166030018,FUT_NK225_2103,2021-01-15
18,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,1702,12400,野村證券,Nomura Securities,1723,166030018,FUT_NK225_2103,2021-01-15
19,11696,みずほ証券,Mizuho Securities,1660,11788,ソシエテ・ジェネラル,Societe Generale,1722,166030018,FUT_NK225_2103,2021-01-15
20,11792,シティグループ証券,Citigroup Japan,1200,11560,ゴールドマンサックス,Goldman Sachs Japan,1589,166030018,FUT_NK225_2103,2021-01-15
21,11256,ＳＢＩ証券,SBI SECURITIES,970,11792,シティグループ証券,Citigroup Japan,1215,166030018,FUT_NK225_2103,2021-01-15
22,12792,BofA証券,BofA Securities,858,11256,ＳＢＩ証券,SBI SECURITIES,970,166030018,FUT_NK225_2103,2021-01-15
23,12800,モルガンスタンレー,Morgan Stanley MUFG,784,12800,モルガンスタンレー,Morgan Stanley MUFG,789,166030018,FUT_NK225_2103,2021-01-15
24,12400,野村證券,Nomura Securities,764,12792,BofA証券,BofA Securities,574,166030018,FUT_NK225_2103,2021-01-15
25,11788,ソシエテ・ジェネラル,Societe Generale,679,11635,クレディ・スイス証券,Credit Suisse Japan,250,166030018,FUT_NK225_2103,2021-01-15
26,11746,ＵＢＳ証券,UBS Securities Japan,551,11746,ＵＢＳ証券,UBS Securities Japan,233,166030018,FUT_NK225_2103,2021-01-15
27,11714,ＪＰモルガン証券,JPMorgan Japan,440,11696,みずほ証券,Mizuho Securities,160,166030018,FUT_NK225_2103,2021-01-15
28,11635,クレディ・スイス証券,Credit Suisse Japan,185,11714,ＪＰモルガン証券,JPMorgan Japan,111,166030018,FUT_NK225_2103,2021-01-15
29,12328,ＳＭＢＣ日興証券,SMBC Nikko Sec,91,12328,ＳＭＢＣ日興証券,SMBC Nikko Sec,91,166030018,FUT_NK225_2103,2021-01-15
